Wavelength,Intensity
804.40432199866621,43851
804.67409253372216,44357
804.94387206024635,44563
805.21366055740634,44873
805.483458004366,45230
805.75326438028492,45383
806.02307966431954,45315
806.29290383562261,45198
806.56273687334271,45367
806.83257875662537,45553
807.1024294646121,46470
807.37228897644059,46728
807.64215727124542,47550
807.91203432815689,47670
808.1819201263022,48737
808.45181464480459,49297
808.72171786278386,49493
808.991629759356,50216
809.26155031363373,50113
809.53147950472589,50665
809.80141731173774,51372
810.07136371377123,51235
810.34131868992449,52102
810.611282219292,52110
810.88125428096475,52953
811.15123485403069,53380
811.42122391757346,53848
811.69122145067354,54376
811.961227432408,54375
812.23124184185008,55030
812.50126465806977,55633
812.77129586013348,55228
813.04133542710417,56040
813.3113833380412,55896
813.58143957200036,55959
813.85150410803453,55664
814.12157692519236,55552
814.39165800251965,55354
814.66174731905824,55795
814.93184485384722,55809
815.20195058592151,55794
815.47206449431326,56183
815.74218655805043,56049
816.0123167561585,56569
816.282455067659,56485
816.55260147156991,56740
816.82275594690634,57245
817.09291847267968,57101
817.36308902789813,57352
817.63326759156632,57370
817.90345414268563,56736
818.17364866025434,57115
818.443851123267,57164
818.714061510715,56380
818.98427980158681,56545
819.25450597486667,56057
819.52474000953646,56120
819.79498188457421,55567
820.06523157895481,55858
820.33548907165,55304
820.6057543416282,55469
820.87602736785425,55487
821.14630812929022,55571
821.41659660489461,55736
821.68689277362273,56203
821.957196614427,56274
822.22750810625587,56170
822.49782722805548,56244
822.76815395876815,56273
823.03848827733339,56561
823.30883016268683,56432
823.579179593762,56574
823.84953654948811,56468
824.11990100879223,56491
824.39027295059748,56540
824.66065235382428,56831
824.93103919738985,56959
825.201433460208,56746
825.47183512118988,56970
825.74224415924311,56935
826.01266055327244,57098
826.2830842821794,56780
826.55351532486247,57320
826.82395366021717,57293
827.0943992671356,57266
827.36485212450714,57475
827.63531221121809,57499
827.90577950615136,57437
828.17625398818723,57222
828.44673563620279,57229
828.71722442907208,57554
828.98772034566593,57415
829.2582233648526,57538
829.52873346549688,56915
829.799250626461,56759
830.06977482660375,56756
830.34030604478141,57195
830.61084425984689,56995
830.88138945065032,57466
831.15194159603914,57142
831.42250067485713,56953
831.69306666594582,57137
831.96363954814365,57178
832.234219300286,57292
832.50480590120515,57397
832.77539932973093,56769
833.04599956469008,57301
833.31660658490625,57457
833.58722036920062,57382
833.85784089639117,57701
834.128468145293,56863
834.39910209471861,56897
834.66974272347727,56841
834.94039001037606,56727
835.21104393421854,56568
835.48170447380573,56685
835.75237160793574,56661
836.02304531540426,56508
836.29372557500358,56366
836.56441236552382,56299
836.8351056657516,56788
837.10580545447147,56577
837.3765117104648,56254
837.64722441251035,56326
837.91794353938394,56033
838.18866906985909,56500
838.459400982706,56541
838.73013925669261,56294
839.00088387058406,56552
839.27163480314243,56682
839.54239203312761,56511
839.81315553929653,56732
840.08392530040317,56635
840.35470129519933,56310
840.62548350243412,56590
840.89627190085355,56413
841.16706646920136,56808
841.43786718621845,56824
841.70867403064324,56358
841.97948698121138,56345
842.250306016656,56776
842.5211311157077,56264
842.79196225709416,56309
843.06279941954062,55984
843.33364258177,56332
843.60449172250242,56221
843.87534682045521,56355
844.14620785434363,55250
844.41707480288017,55488
844.68794764477445,55567
844.95882635873375,55428
845.22971092346336,55697
845.50060131766543,55538
845.77149752003982,55361
846.04239950928343,55262
846.31330726409169,55319
846.58422076315651,54854
846.85513998516785,55284
847.12606490881308,54610
847.39699551277738,54984
847.66793177574277,54996
847.93887367638956,54937
848.2098211933951,55038
848.48077430543492,54862
848.75173299118171,54738
849.02269722930544,55372
849.29366699847435,55115
849.56464227735376,54754
849.8356230446069,54824
850.10660927889467,55086
850.37760095887563,54464
850.64859806320521,54752
850.91960057053757,54967
851.1906084595239,54352
851.46162170881314,54929
851.73264029705228,54456
852.00366420288537,54585
852.27469340495452,54419
852.54572788189932,54113
852.81676761235758,54336
853.08781257496412,53448
853.35886274835218,54088
853.62991811115194,53762
853.9009786419922,53540
854.17204431949858,53336
854.44311512229535,53704
854.71419102900393,53624
854.98527201824345,53183
855.25635806863158,52992
855.52744915878316,52726
855.79854526731083,52850
856.069646372825,52812
856.34075245393421,52823
856.61186348924491,52972
856.88297945736053,52538
857.1541003368834,52531
857.42522610641322,52041
857.6963567445473,52270
857.96749222988137,52162
858.23863254100831,51876
858.50977765651987,52051
858.78092755500461,52145
859.05208221505,52483
859.32324161524025,52033
859.59440573415873,52236
859.865574550386,52395
860.13674804250059,52782
860.40792618907926,52332
860.67910896869648,51989
860.95029635992455,52070
861.22148834133407,51828
861.49268489149358,52214
861.76388598896926,51989
862.03509161232557,51600
862.30630174012526,51192
862.57751635092814,51964
862.848735423293,51312
863.11995893577637,51698
863.39118686693234,51464
863.66241919531376,51746
863.933655899471,51054
864.20489695795266,51019
864.47614234930552,50733
864.74739205207436,50782
865.01864604480215,50525
865.28990430602937,50552
865.56116681429546,50582
865.83243354813749,50487
866.10370448609058,50482
866.37497960668838,50034
866.646258888462,50278
866.91754230994127,49895
867.1888298496541,49928
867.46012148612624,49865
867.73141719788214,49824
868.00271696344373,49840
868.27402076133171,49977
868.545328570065,49296
868.81664036815982,49471
869.08795613413179,48977
869.35927584649414,49152
869.63059948375815,48762
869.90192702443392,49066
870.17325844702918,48871
870.44459373005043,48928
870.71593285200186,49038
870.98727579138654,48776
871.25862252670538,48262
871.52997303645793,48318
871.80132729914158,48178
872.07268529325245,47985
872.34404699728475,47871
872.615412389731,47657
872.88678144908226,47654
873.15815415382747,47524
873.42953048245454,47186
873.70091041344892,47285
873.9722939252955,47246
874.24368099647677,47420
874.51507160547339,47206
874.78646573076526,47209
875.05786335083,46908
875.32926444414386,47123
875.60066898918137,46947
875.87207696441578,46819
876.14348834831867,46054
876.41490311935956,46029
876.68632125600709,46451
876.95774273672816,46039
877.22916753998777,46463
877.50059564425,46063
877.77202702797706,45686
878.04346166962944,45846
878.31489954766664,45668
878.58634064054627,45347
878.85778492672455,45306
879.12923238465612,45042
879.40068299279471,44756
879.67213672959178,44781
879.94359357349811,44941
880.21505350296206,44846
880.48651649643159,44736
880.75798253235268,43920
881.02945158917,43880
881.30092364532675,43475
881.57239867926489,43980
881.84387666942484,43859
882.11535759424567,43605
882.386841432165,43666
882.65832816161947,43399
882.92981776104386,42847
883.20131020887175,43173
883.47280548353547,42861
883.74430356346591,42389
884.01580442709292,42826
884.28730805284488,42739
884.55881441914858,42351
884.83032350442977,42483
885.10183528711286,42047
885.37334974562111,41731
885.64486685837608,41758
885.916386603799,41490
886.18790896030862,41732
886.45943390632351,41629
886.73096142026009,41688
887.00249148053433,41466
887.27402406556064,41349
887.545559153752,41191
887.81709672352054,41057
888.088636753277,40840
888.36017922143128,40741
888.63172410639152,40752
888.903271386565,40690
889.1748210403581,41168
889.44637304617527,41039
889.717927382421,40776
889.98948402749727,40204
890.26104295980633,40375
890.532604157748,40410
890.80416759972172,40059
891.075733264126,40549
891.34730112935767,40503
891.61887117381309,40069
891.890443375887,39812
892.16201771397311,39875
892.43359416646467,39871
892.70517271175322,39529
892.97675332822962,39303
893.24833599428337,39338
893.51992068830339,39125
893.79150738867725,39315
894.06309607379183,39053
894.33468672203242,39226
894.606279311784,38799
894.87787382143006,38193
895.1494702293536,38332
895.421068513936,37993
895.69266865355848,38370
895.96427062660041,38494
896.23587441144127,38375
896.50747998645863,38336
896.77908733002971,38190
897.0506964205307,37637
897.32230723633666,37693
897.59391975582218,36907
897.86553395736053,37018
898.13714981932458,37210
898.40876732008564,37363
898.680386438015,37199
898.95200715148235,37105
899.223629438857,37006
899.49525327850722,36904
899.76687864880046,36344
900.03850552810354,36496
900.31013389478221,36426
900.58176372720163,36427
900.85339500372606,36278
901.12502770271885,36171
901.39666180254289,36391
901.66829728156006,36292
901.93993411813176,35949
902.211572290618,35626
902.48321177737887,35241
902.754852556773,35149
903.02649460715907,35070
903.29813790689423,35221
903.56978243433548,35098
903.841428167839,35172
904.1130750857601,34883
904.38472316645357,34338
904.65637238827355,34672
904.92802272957351,34213
905.199674168706,34018
905.47132668402332,34032
905.74298025387691,34395
906.0146348566177,33598
906.28629047059565,34244
906.55794707416067,33821
906.82960464566179,33689
907.10126316344736,33238
907.37292260586526,33021
907.64458295126258,33046
907.91624417798607,33173
908.187906264382,32843
908.459569188796,32828
908.73123292957268,33101
909.00289746505723,33193
909.27456277359306,32492
909.54622883352386,32464
909.8178956231925,32563
910.08956312094165,32267
910.36123130511294,32154
910.63290015404834,32597
910.90456964608825,32245
911.1762397595736,32226
911.44791047284446,32348
911.71958176424039,32047
911.99125361210054,31695
912.2629259947638,31829
912.53459889056853,31468
912.80627227785237,31406
913.07794613495332,31040
913.34962044020824,30924
913.62129517195376,30916
913.89297030852651,30529
914.16464582826245,30852
914.43632170949718,30492
914.70799793056574,30277
914.9796744698034,29888
915.25135130554463,30035
915.52302841612368,29712
915.79470577987456,29981
916.066383375131,29951
916.33806118022619,29805
916.60973917349327,29961
916.88141733326484,29384
917.15309563787355,29051
917.42477406565183,29251
917.69645259493132,28817
917.96813120404386,28893
918.239809871321,28904
918.51148857509372,28844
918.7831672936934,28827
919.0548460054506,28836
919.32652468869617,28770
919.59820332176037,28414
919.86988188297335,28201
920.14156035066526,27562
920.41323870316592,27740
920.6849169188049,27847
920.95659497591214,27711
921.22827285281653,27980
921.49995052784766,27961
921.77162797933477,27881
922.04330518560664,27522
922.31498212499207,26798
922.5866587758203,27029
922.85833511641977,26905
923.130011125119,26742
923.40168678024679,26871
923.67336206013135,26846
923.94503694310151,26705
924.21671140748515,26594
924.48838543161094,26557
924.760058993807,26391
925.03173207240184,26301
925.30340464572339,25858
925.57507669210008,25857
925.84674818986025,25744
926.118419117332,25941
926.39008945284354,26024
926.66175917472344,25853
926.93342826129992,25950
927.20509669090131,25673
927.47676444185606,25299
927.74843149249261,25226
928.02009782113976,24731
928.29176340612594,24690
928.56342822578006,24762
928.83509225843079,24503
929.10675548240738,24780
929.37841787603827,24973
929.65007941765327,24501
929.92174008558118,24174
930.19339985815191,24091
930.46505871369482,23579
930.73671663053972,23464
931.00837358701642,23661
931.28002956145508,23416
931.55168453218607,23363
931.82333847753966,23734
932.09499137584658,23027
932.36664320543787,23457
932.63829394464426,23069
932.9099435717975,22749
933.1815920652291,22354
933.45323940327046,22256
933.7248855642539,22415
933.99653052651161,22006
934.26817426837636,22144
934.53981676818091,22014
934.81145800425827,21884
935.0830979549421,21754
935.354736598566,21624
935.62637391346414,21494
935.89800987797071,21365
936.16964447042039,21235
936.44127766914858,21105
936.71290945249029,20975
936.98453979878138,20845
937.25616868635814,20715
937.52779609355673,20709
937.79942199871425,20557
938.071046380168,20068
938.34266921625544,19964
938.61429048531454,19825
938.88591016568421,19675
939.1575282357029,19491
939.4291446737102,19442
939.7007594580457,19709
939.97237256704989,19518
940.24398397906316,19008
940.51559367242692,19006
940.78720162548257,18596
941.05880781657231,17996
941.33041222403892,18053
941.6020148262254,17720
941.87361560147508,17551
942.14521452813267,17289
942.41681158454242,17425
942.6884067490497,16951
942.96000000000015,16696
943.23159131574,16357
943.50318067461637,16280
943.77476805497668,15695
944.04635343516884,15383
944.31793679354155,15263
944.58951810844371,15072
944.86109735822561,14946
945.13267452123739,14631
945.40424957583014,14450
945.67582250035559,14269
945.94739327316586,14088
946.21896187261439,13907
946.49052827705418,13726
946.76209246484018,13376
947.033654414327,13341
947.30521410387018,13121
947.57677151182634,13178
947.84832661655241,13025
948.11987939640619,12825
948.391429829746,12936
948.66297789493126,12698
948.93452357032174,12338
949.20606683427832,12447
949.4776076651624,12249
949.74914604133608,12209
950.02068194116225,12143
950.29221534300473,12301
950.563746225228,12324
950.83527456619765,12134
951.10680034427946,11947
951.37832353784063,11850
951.64984412524882,12040
951.92136208487273,11808
952.19287739508172,11876
952.46439003424575,11618
952.73589998073658,11626
953.00740721292584,11695
953.27891170918656,11984
953.55041344789208,11993
953.8219124074177,11883
954.09340856613869,11854
954.36490190243126,11933
954.63639239467307,11742
954.90788002124225,11698
955.17936476051818,11842
955.450846590881,11838
955.722325490712,11790
955.99380143839289,11931
956.26527441230689,11911
956.536744390838,11736
956.80821135237136,11660
957.07967527529274,11650
957.35113613798944,11766
957.62259391884936,11672
957.89404859626143,11618
958.16550014861582,11689
958.43694855430363,11874
958.70839379171684,11738
958.979835839249,12010
959.2512746752941,12034
959.52271027824759,11882
959.79414262650573,11737
960.06557169846633,11802
960.33699747252774,11785
960.60841992708981,11789
960.87983904055318,11673
961.15125479131984,11844
961.42266715779306,11794
961.694076118377,11946
961.96548165147669,11839
962.23688373549908,11837
962.50828234885159,11626
962.77967746994329,11535
963.051069077184,11802
963.32245714898522,11701
963.59384166375889,11391
963.86522259991909,11654
964.13659993588067,11877
964.4079736500596,11897
964.679343720873,11851
964.95071012673986,11808
965.22207284607975,11588
965.49343185731368,11410
965.76478713886422,11422
966.03613866915464,11284
966.30748642661013,11352
966.57883038965667,11191
966.85017053672209,11456
967.12150684623475,11459
967.39283929662508,11468
967.66416786632453,11528
967.935492533766,11494
968.20681327738328,11241
968.47813007561217,11228
968.74944290688939,11244
969.02075174965319,11152
969.29205658234309,11019
969.56335738340033,11047
969.83465413126714,11391
970.10594680438714,11140
970.37723538120588,11153
970.64851984016991,10917
970.91980015972729,11265
971.19107631832742,10920
971.46234829442108,10830
971.7336160664612,10722
972.00487961290128,10802
972.27613891219664,10679
972.54739394280443,10729
972.81864468318258,10849
973.08989111179119,10781
973.36113320709148,10688
973.63237094754629,10723
973.90360431162,10711
974.17483327777859,10452
974.44605782448946,10531
974.7172779302216,10421
974.98849357344545,10409
975.25970473263317,10394
975.53091138625871,10506
975.80211351279718,10590
976.07331109072538,10548
976.344504098522,10321
976.61569251466665,10129
976.88687631764162,10117
977.15805548592994,10017
977.42922999801658,10117
977.70039983238837,10174
977.97156496753325,10085
978.24272538194145,9946
978.51388105410444,10079
978.7850319625154,9880
979.05617808566944,9933
979.32731940206315,10015
979.59845589019494,9809
979.86958752856481,9568
980.14071429567457,9566
980.41183617002787,9451
980.68295313012982,9402
980.95406515448735,9541
981.22517222160957,9545
981.4962743100067,9376
981.76737139819124,9398
982.038463464677,9377
982.30955048798,9031
982.580632446618,9061
982.85170931911034,9108
983.12278108397845,9007
983.39384771974517,8912
983.66490920493561,9022
983.93596551807673,8939
984.20701663769671,9078
984.47806254232648,8890
984.74910321049833,8908
985.020138620746,8735
985.291168751606,8838
985.5621935816165,8685
985.833213089317,8616
986.10422725324952,8400
986.37523605195759,8546
986.64623946398706,8546
986.91723746788534,8560
987.18823004220212,8514
987.45921716548878,8387
987.73019881629864,8407
988.00117497318706,8393
988.27214561471169,8408
988.54311071943164,8069
988.81407026590841,8146
989.08502423270511,8174
989.3559725983871,8097
989.62691534152214,8113
989.89785244067912,8228
990.16878387442978,7849
990.43970962134745,8100
990.710629660008,8038
990.98154396898826,8021
991.25245252686852,7870
991.52335531223014,7779
991.79425230365723,7722
992.06514347973553,7693
992.33602881905313,7620
992.60690830019985,7713
992.87778190176834,7662
993.14864960235263,7671
993.41951138054924,7729
993.69036721495718,7575
993.96121708417684,7437
994.23206096681122,7369
994.50289884146548,7258
994.773730686747,7381
995.04455648126532,7298
995.31537620363179,7380
995.58618983246049,7181
995.85699734636773,7198
996.12779872397141,7120
996.39859394389225,7067
996.669382984753,7148
996.94016582517884,7125
997.21094244379674,7039
997.48171281923658,6922
997.75247693012977,6868
998.02323475511071,6901
998.29398627281546,6864
998.56473146188284,6757
998.835470300954,6846
999.10620276867189,6617
999.37692884368232,6663
999.64764850463314,6543
999.91836173017475,6434
1000.1890684989594,6467
1000.4597687896423,6311
1000.7304625808807,6499
1001.0011498513344,6412
1001.2718305796653,6379
1001.5425047445382,6317
1001.8131723246194,6261
1002.0838332985784,6336
1002.354487645087,6250
1002.6251353428191,6229
1002.8957763704515,6073
1003.1664107066628,6116
1003.4370383301344,5999
1003.7076592195505,6006
1003.9782733535972,5937
1004.2488807109632,5945
