Wavelength,Intensity
804.40432199866621,46929
804.67409253372216,47477
804.94387206024635,47732
805.21366055740634,48034
805.483458004366,47441
805.75326438028492,47712
806.02307966431954,47609
806.29290383562261,48030
806.56273687334271,47669
806.83257875662537,47688
807.1024294646121,48197
807.37228897644059,48341
807.64215727124542,49495
807.91203432815689,49710
808.1819201263022,50389
808.45181464480459,50796
808.72171786278386,50974
808.991629759356,52080
809.26155031363373,51942
809.53147950472589,51671
809.80141731173774,52039
810.07136371377123,52699
810.34131868992449,53043
810.611282219292,53505
810.88125428096475,53820
811.15123485403069,54211
811.42122391757346,54381
811.69122145067354,54815
811.961227432408,55468
812.23124184185008,55832
812.50126465806977,56088
812.77129586013348,56463
813.04133542710417,56224
813.3113833380412,56322
813.58143957200036,56105
813.85150410803453,55845
814.12157692519236,55978
814.39165800251965,55917
814.66174731905824,55815
814.93184485384722,55724
815.20195058592151,55789
815.47206449431326,55709
815.74218655805043,56090
816.0123167561585,56347
816.282455067659,56059
816.55260147156991,56212
816.82275594690634,56043
817.09291847267968,55899
817.36308902789813,56250
817.63326759156632,56191
817.90345414268563,55656
818.17364866025434,55215
818.443851123267,55000
818.714061510715,54712
818.98427980158681,54732
819.25450597486667,54411
819.52474000953646,53920
819.79498188457421,53493
820.06523157895481,53020
820.33548907165,52321
820.6057543416282,52122
820.87602736785425,52611
821.14630812929022,52405
821.41659660489461,52215
821.68689277362273,51993
821.957196614427,51739
822.22750810625587,52009
822.49782722805548,51912
822.76815395876815,52085
823.03848827733339,51571
823.30883016268683,51278
823.579179593762,51243
823.84953654948811,51423
824.11990100879223,51942
824.39027295059748,52353
824.66065235382428,51642
824.93103919738985,51391
825.201433460208,52224
825.47183512118988,52296
825.74224415924311,52182
826.01266055327244,51995
826.2830842821794,51945
826.55351532486247,52056
826.82395366021717,52260
827.0943992671356,52411
827.36485212450714,53607
827.63531221121809,54040
827.90577950615136,53355
828.17625398818723,53295
828.44673563620279,52913
828.71722442907208,53279
828.98772034566593,52142
829.2582233648526,51291
829.52873346549688,49777
829.799250626461,48212
830.06977482660375,49275
830.34030604478141,51175
830.61084425984689,51873
830.88138945065032,52465
831.15194159603914,52288
831.42250067485713,52399
831.69306666594582,53273
831.96363954814365,53142
832.234219300286,52811
832.50480590120515,52103
832.77539932973093,51966
833.04599956469008,52042
833.31660658490625,52417
833.58722036920062,53042
833.85784089639117,52715
834.128468145293,51320
834.39910209471861,50641
834.66974272347727,50168
834.94039001037606,50834
835.21104393421854,51003
835.48170447380573,50972
835.75237160793574,50607
