Wavelength,Intensity
804.40432199866621,40752
804.67409253372216,41031
804.94387206024635,41510
805.21366055740634,41862
805.483458004366,41484
805.75326438028492,41536
806.02307966431954,41611
806.29290383562261,41263
806.56273687334271,41682
806.83257875662537,41467
807.1024294646121,41294
807.37228897644059,42151
807.64215727124542,42725
807.91203432815689,42563
808.1819201263022,43245
808.45181464480459,43786
808.72171786278386,44207
808.991629759356,44657
809.26155031363373,44779
809.53147950472589,44357
809.80141731173774,44684
810.07136371377123,45394
810.34131868992449,45412
810.611282219292,45874
810.88125428096475,46483
811.15123485403069,46512
811.42122391757346,46779
811.69122145067354,46761
811.961227432408,47384
812.23124184185008,47757
812.50126465806977,48315
812.77129586013348,48093
813.04133542710417,48546
813.3113833380412,47977
813.58143957200036,48210
813.85150410803453,48298
814.12157692519236,48091
814.39165800251965,48253
814.66174731905824,47996
814.93184485384722,48192
815.20195058592151,47764
815.47206449431326,48136
815.74218655805043,47893
816.0123167561585,48211
816.282455067659,48177
816.55260147156991,47825
816.82275594690634,47658
817.09291847267968,48004
817.36308902789813,47861
817.63326759156632,47635
817.90345414268563,47173
818.17364866025434,46915
818.443851123267,46848
818.714061510715,46806
818.98427980158681,46905
819.25450597486667,46113
819.52474000953646,46231
819.79498188457421,45723
820.06523157895481,44545
820.33548907165,43395
820.6057543416282,43985
820.87602736785425,44247
821.14630812929022,43809
821.41659660489461,43229
821.68689277362273,43464
821.957196614427,42750
822.22750810625587,43218
822.49782722805548,43355
822.76815395876815,43460
823.03848827733339,42911
823.30883016268683,41126
823.579179593762,42328
823.84953654948811,43531
824.11990100879223,43521
824.39027295059748,43922
824.66065235382428,42861
824.93103919738985,41843
825.201433460208,43364
825.47183512118988,43949
825.74224415924311,43903
826.01266055327244,43981
826.2830842821794,44000
826.55351532486247,43768
826.82395366021717,43898
827.0943992671356,44707
827.36485212450714,46257
827.63531221121809,47088
827.90577950615136,45941
828.17625398818723,45349
828.44673563620279,45424
828.71722442907208,45236
828.98772034566593,44438
829.2582233648526,43037
829.52873346549688,40830
829.799250626461,39132
830.06977482660375,39748
830.34030604478141,42291
830.61084425984689,44391
830.88138945065032,44621
831.15194159603914,45412
831.42250067485713,44810
831.69306666594582,46437
831.96363954814365,46525
832.234219300286,45701
832.50480590120515,44934
832.77539932973093,44402
833.04599956469008,45038
833.31660658490625,45485
833.58722036920062,45891
833.85784089639117,46227
834.128468145293,44911
834.39910209471861,42885
834.66974272347727,42938
834.94039001037606,43631
835.21104393421854,43967
835.48170447380573,44188
835.75237160793574,43934
836.02304531540426,43281
836.29372557500358,43958
836.56441236552382,43712
836.8351056657516,44293
837.10580545447147,44333
837.3765117104648,43428
837.64722441251035,43589
837.91794353938394,44495
838.18866906985909,44016
838.459400982706,44476
838.73013925669261,43260
839.00088387058406,43741
839.27163480314243,44156
839.54239203312761,44623
839.81315553929653,44622
840.08392530040317,43946
840.35470129519933,43991
840.62548350243412,44584
840.89627190085355,44546
841.16706646920136,45232
841.43786718621845,45784
841.70867403064324,45464
841.97948698121138,45210
842.250306016656,45083
842.5211311157077,44992
842.79196225709416,45078
843.06279941954062,44922
843.33364258177,45323
843.60449172250242,45808
843.87534682045521,45112
844.14620785434363,45783
844.41707480288017,44908
844.68794764477445,44943
844.95882635873375,45397
845.22971092346336,45931
845.50060131766543,45477
845.77149752003982,45027
846.04239950928343,45790
846.31330726409169,45835
846.58422076315651,45477
846.85513998516785,45803
847.12606490881308,45433
847.39699551277738,45228
847.66793177574277,45227
847.93887367638956,45408
848.2098211933951,45465
