Wavelength,Intensity
804.40432199866621,47351
804.67409253372216,48107
804.94387206024635,48283
805.21366055740634,48672
805.483458004366,48644
805.75326438028492,48131
806.02307966431954,48556
806.29290383562261,48550
806.56273687334271,48242
806.83257875662537,48397
807.1024294646121,47758
807.37228897644059,48627
807.64215727124542,50057
807.91203432815689,49866
808.1819201263022,50283
808.45181464480459,51005
808.72171786278386,51759
808.991629759356,52597
809.26155031363373,52269
809.53147950472589,51972
809.80141731173774,52198
810.07136371377123,52655
810.34131868992449,53592
810.611282219292,53508
810.88125428096475,54065
811.15123485403069,55003
811.42122391757346,54659
811.69122145067354,54079
811.961227432408,55511
812.23124184185008,56371
812.50126465806977,56704
812.77129586013348,57504
813.04133542710417,57749
813.3113833380412,57028
813.58143957200036,57467
813.85150410803453,57267
814.12157692519236,57006
814.39165800251965,56679
814.66174731905824,57188
814.93184485384722,56813
815.20195058592151,56719
815.47206449431326,56195
815.74218655805043,56491
816.0123167561585,56922
816.282455067659,56919
816.55260147156991,56389
816.82275594690634,56474
817.09291847267968,56642
817.36308902789813,56795
817.63326759156632,56890
817.90345414268563,56550
818.17364866025434,55709
818.443851123267,55792
818.714061510715,54928
818.98427980158681,55355
819.25450597486667,54182
819.52474000953646,53909
819.79498188457421,53681
820.06523157895481,52567
820.33548907165,50439
820.6057543416282,50061
820.87602736785425,50797
821.14630812929022,50705
821.41659660489461,49898
821.68689277362273,49637
821.957196614427,48243
822.22750810625587,48701
822.49782722805548,49338
822.76815395876815,49469
823.03848827733339,48771
823.30883016268683,47149
823.579179593762,46613
823.84953654948811,49028
824.11990100879223,49395
824.39027295059748,50879
824.66065235382428,49505
824.93103919738985,46447
825.201433460208,48666
825.47183512118988,50144
825.74224415924311,50380
826.01266055327244,49946
826.2830842821794,49979
826.55351532486247,49869
826.82395366021717,50102
827.0943992671356,50432
827.36485212450714,54045
827.63531221121809,56203
827.90577950615136,55032
828.17625398818723,53787
828.44673563620279,53659
828.71722442907208,53234
828.98772034566593,51764
829.2582233648526,50157
829.52873346549688,46857
829.799250626461,43153
830.06977482660375,42586
830.34030604478141,47064
830.61084425984689,51006
830.88138945065032,52714
831.15194159603914,52696
831.42250067485713,53034
831.69306666594582,54755
831.96363954814365,55908
832.234219300286,54850
832.50480590120515,52835
832.77539932973093,51793
833.04599956469008,52488
833.31660658490625,54023
833.58722036920062,54852
833.85784089639117,55184
834.128468145293,53242
834.39910209471861,50747
834.66974272347727,49502
834.94039001037606,50578
835.21104393421854,51076
835.48170447380573,52175
835.75237160793574,51794
836.02304531540426,50417
836.29372557500358,51798
836.56441236552382,51455
836.8351056657516,52527
837.10580545447147,52706
837.3765117104648,51619
837.64722441251035,51331
837.91794353938394,53304
838.18866906985909,52965
838.459400982706,52352
838.73013925669261,51728
839.00088387058406,51242
839.27163480314243,52201
839.54239203312761,53496
839.81315553929653,53321
840.08392530040317,51918
840.35470129519933,51728
840.62548350243412,52762
840.89627190085355,53207
841.16706646920136,53934
841.43786718621845,55049
841.70867403064324,54855
841.97948698121138,54759
842.250306016656,54756
842.5211311157077,53872
842.79196225709416,53962
843.06279941954062,54075
843.33364258177,54678
843.60449172250242,54894
843.87534682045521,54942
844.14620785434363,55166
844.41707480288017,54592
844.68794764477445,54299
844.95882635873375,54826
845.22971092346336,55005
845.50060131766543,54209
845.77149752003982,54221
846.04239950928343,54928
846.31330726409169,55465
846.58422076315651,55040
846.85513998516785,55052
847.12606490881308,55007
847.39699551277738,55670
847.66793177574277,55216
847.93887367638956,54833
848.2098211933951,55281
848.48077430543492,54953
848.75173299118171,55208
849.02269722930544,55399
849.29366699847435,55557
849.56464227735376,55596
849.8356230446069,55302
850.10660927889467,55525
850.37760095887563,54646
850.64859806320521,54395
850.91960057053757,54652
851.1906084595239,55028
851.46162170881314,55080
851.73264029705228,55588
852.00366420288537,55735
852.27469340495452,56141
852.54572788189932,56300
852.81676761235758,55848
853.08781257496412,55768
853.35886274835218,55258
853.62991811115194,55369
853.9009786419922,54643
854.17204431949858,55123
854.44311512229535,55479
854.71419102900393,55299
854.98527201824345,54979
855.25635806863158,54513
855.52744915878316,54961
855.79854526731083,54343
856.069646372825,53968
856.34075245393421,52527
856.61186348924491,51012
856.88297945736053,49979
857.1541003368834,52234
857.42522610641322,53775
857.6963567445473,54130
857.96749222988137,54163
858.23863254100831,53396
858.50977765651987,53108
858.78092755500461,53529
859.05208221505,53900
859.32324161524025,54147
859.59440573415873,53981
859.865574550386,54001
860.13674804250059,53767
860.40792618907926,51795
860.67910896869648,49374
860.95029635992455,47048
861.22148834133407,45035
861.49268489149358,48285
861.76388598896926,51948
862.03509161232557,53293
862.30630174012526,53388
862.57751635092814,53195
862.848735423293,53819
863.11995893577637,54421
863.39118686693234,54264
863.66241919531376,54223
863.933655899471,54008
864.20489695795266,53774
864.47614234930552,53640
864.74739205207436,53697
865.01864604480215,53402
865.28990430602937,53805
865.56116681429546,53764
865.83243354813749,53655
866.10370448609058,53572
866.37497960668838,52859
866.646258888462,53058
866.91754230994127,52718
867.1888298496541,53216
867.46012148612624,52887
867.73141719788214,53432
868.00271696344373,52480
868.27402076133171,52735
868.545328570065,53018
868.81664036815982,52978
869.08795613413179,52957
869.35927584649414,52756
869.63059948375815,52558
869.90192702443392,53300
870.17325844702918,53111
870.44459373005043,52835
870.71593285200186,53056
870.98727579138654,52843
871.25862252670538,52286
871.52997303645793,51714
871.80132729914158,51598
872.07268529325245,50924
872.34404699728475,50945
872.615412389731,49212
872.88678144908226,46587
873.15815415382747,44395
873.42953048245454,45961
873.70091041344892,49297
873.9722939252955,50641
874.24368099647677,50511
874.51507160547339,50633
874.78646573076526,51228
875.05786335083,51625
875.32926444414386,51285
875.60066898918137,50570
875.87207696441578,50745
876.14348834831867,51021
876.41490311935956,51034
876.68632125600709,51049
876.95774273672816,50890
877.22916753998777,51490
877.50059564425,50763
877.77202702797706,50865
878.04346166962944,50467
878.31489954766664,50193
878.58634064054627,50510
878.85778492672455,50729
879.12923238465612,50499
879.40068299279471,50239
879.67213672959178,50008
879.94359357349811,49533
880.21505350296206,49840
880.48651649643159,49022
880.75798253235268,48452
881.02945158917,49335
881.30092364532675,48772
881.57239867926489,48772
881.84387666942484,48928
882.11535759424567,48696
882.386841432165,48731
882.65832816161947,48683
882.92981776104386,48283
883.20131020887175,48384
883.47280548353547,48270
883.74430356346591,48032
884.01580442709292,48422
884.28730805284488,48158
884.55881441914858,47986
884.83032350442977,48438
885.10183528711286,48662
885.37334974562111,47808
885.64486685837608,47774
885.916386603799,47581
886.18790896030862,47328
886.45943390632351,47608
886.73096142026009,47740
887.00249148053433,47580
887.27402406556064,46617
887.545559153752,45681
887.81709672352054,45853
888.088636753277,47054
888.36017922143128,47494
888.63172410639152,47246
888.903271386565,47210
889.1748210403581,47105
889.44637304617527,46909
889.717927382421,46889
889.98948402749727,47296
890.26104295980633,46894
890.532604157748,46664
890.80416759972172,46871
891.075733264126,47362
891.34730112935767,47067
891.61887117381309,47496
891.890443375887,47046
892.16201771397311,46698
892.43359416646467,46279
892.70517271175322,46014
892.97675332822962,45161
893.24833599428337,45433
893.51992068830339,45125
893.79150738867725,45432
894.06309607379183,45961
894.33468672203242,46324
894.606279311784,45624
894.87787382143006,44983
895.1494702293536,45588
895.421068513936,45453
895.69266865355848,45945
895.96427062660041,45668
896.23587441144127,45472
896.50747998645863,45499
896.77908733002971,45036
897.0506964205307,44830
897.32230723633666,44871
897.59391975582218,44814
897.86553395736053,44432
898.13714981932458,44495
898.40876732008564,44332
898.680386438015,43714
898.95200715148235,44350
899.223629438857,44096
899.49525327850722,43118
899.76687864880046,41593
900.03850552810354,41427
900.31013389478221,42200
900.58176372720163,42566
900.85339500372606,42222
901.12502770271885,41519
901.39666180254289,40221
901.66829728156006,39699
901.93993411813176,39093
902.211572290618,37756
902.48321177737887,37782
902.754852556773,38041
903.02649460715907,36774
903.29813790689423,35224
903.56978243433548,35376
903.841428167839,35921
904.1130750857601,35211
904.38472316645357,35112
904.65637238827355,36876
904.92802272957351,36452
905.199674168706,35615
905.47132668402332,33025
905.74298025387691,29475
906.0146348566177,29601
906.28629047059565,34141
906.55794707416067,36804
906.82960464566179,34658
907.10126316344736,32504
907.37292260586526,32137
907.64458295126258,32589
907.91624417798607,32851
908.187906264382,33289
908.459569188796,33308
908.73123292957268,33181
909.00289746505723,34147
909.27456277359306,33373
909.54622883352386,33540
909.8178956231925,35585
910.08956312094165,36661
910.36123130511294,38246
910.63290015404834,38719
910.90456964608825,37830
911.1762397595736,37270
911.44791047284446,37955
911.71958176424039,38534
911.99125361210054,37439
912.2629259947638,37096
912.53459889056853,36519
912.80627227785237,36033
913.07794613495332,33805
913.34962044020824,33205
913.62129517195376,33582
913.89297030852651,31802
914.16464582826245,31165
914.43632170949718,32479
914.70799793056574,31887
914.9796744698034,30379
915.25135130554463,31172
915.52302841612368,31484
915.79470577987456,30633
916.066383375131,30957
916.33806118022619,31447
916.60973917349327,31404
916.88141733326484,30928
917.15309563787355,31020
917.42477406565183,31074
917.69645259493132,30576
917.96813120404386,32541
918.239809871321,33364
918.51148857509372,31988
918.7831672936934,30456
919.0548460054506,31747
919.32652468869617,33416
919.59820332176037,30934
919.86988188297335,28081
920.14156035066526,27149
920.41323870316592,27417
920.6849169188049,28525
920.95659497591214,31163
921.22827285281653,32154
921.49995052784766,32342
921.77162797933477,30661
922.04330518560664,27575
922.31498212499207,26074
922.5866587758203,26943
922.85833511641977,29743
923.130011125119,30767
923.40168678024679,31299
923.67336206013135,30454
923.94503694310151,29049
924.21671140748515,27251
924.48838543161094,26446
924.760058993807,28402
925.03173207240184,30298
925.30340464572339,30072
925.57507669210008,30744
925.84674818986025,32220
926.118419117332,31971
926.39008945284354,31015
926.66175917472344,31581
926.93342826129992,33711
927.20509669090131,33510
927.47676444185606,32073
927.74843149249261,31325
928.02009782113976,30519
928.29176340612594,29799
928.56342822578006,29119
928.83509225843079,30354
929.10675548240738,31853
929.37841787603827,31486
929.65007941765327,30433
