Wavelength,Intensity
804.40432199866621,29732
804.67409253372216,30196
804.94387206024635,30218
805.21366055740634,30218
805.483458004366,30568
805.75326438028492,30219
806.02307966431954,30567
806.29290383562261,30270
806.56273687334271,30481
806.83257875662537,30558
807.1024294646121,30116
807.37228897644059,30421
807.64215727124542,30955
807.91203432815689,31048
808.1819201263022,31365
808.45181464480459,31531
808.72171786278386,31938
808.991629759356,32202
809.26155031363373,32209
809.53147950472589,32227
809.80141731173774,32091
810.07136371377123,32248
810.34131868992449,32914
810.611282219292,32952
810.88125428096475,33370
811.15123485403069,33534
811.42122391757346,33303
811.69122145067354,33573
811.961227432408,33914
812.23124184185008,34423
812.50126465806977,34505
812.77129586013348,34657
813.04133542710417,34852
813.3113833380412,34834
813.58143957200036,34814
813.85150410803453,35218
814.12157692519236,34673
814.39165800251965,34706
814.66174731905824,34545
814.93184485384722,34452
815.20195058592151,34597
815.47206449431326,34315
815.74218655805043,34442
816.0123167561585,35173
816.282455067659,34962
816.55260147156991,34776
816.82275594690634,34579
817.09291847267968,34769
817.36308902789813,35062
817.63326759156632,34729
817.90345414268563,34585
818.17364866025434,34310
818.443851123267,34053
818.714061510715,34316
818.98427980158681,34215
819.25450597486667,33719
819.52474000953646,33584
819.79498188457421,33616
820.06523157895481,33100
820.33548907165,32056
820.6057543416282,31926
820.87602736785425,32331
821.14630812929022,32089
821.41659660489461,31763
821.68689277362273,31557
821.957196614427,31123
822.22750810625587,31367
822.49782722805548,31086
822.76815395876815,31535
823.03848827733339,31046
823.30883016268683,30357
823.579179593762,30419
823.84953654948811,31117
824.11990100879223,31123
824.39027295059748,31888
824.66065235382428,31352
824.93103919738985,30456
825.201433460208,31292
825.47183512118988,31645
825.74224415924311,31663
826.01266055327244,31630
826.2830842821794,31950
826.55351532486247,31498
826.82395366021717,31582
827.0943992671356,31825
827.36485212450714,33273
827.63531221121809,34126
827.90577950615136,33742
828.17625398818723,33176
828.44673563620279,33070
828.71722442907208,32984
828.98772034566593,32558
829.2582233648526,31462
829.52873346549688,30162
829.799250626461,28341
830.06977482660375,28318
830.34030604478141,29998
830.61084425984689,31971
830.88138945065032,32663
831.15194159603914,32674
831.42250067485713,32353
831.69306666594582,33841
831.96363954814365,34147
832.234219300286,33519
832.50480590120515,32704
832.77539932973093,32263
833.04599956469008,32627
833.31660658490625,33307
833.58722036920062,33697
833.85784089639117,33529
834.128468145293,32935
834.39910209471861,31532
834.66974272347727,31334
834.94039001037606,31558
835.21104393421854,31924
835.48170447380573,32500
835.75237160793574,32185
836.02304531540426,31549
836.29372557500358,32313
836.56441236552382,31976
836.8351056657516,32865
837.10580545447147,32367
837.3765117104648,32321
837.64722441251035,31870
837.91794353938394,32680
838.18866906985909,32808
838.459400982706,31962
838.73013925669261,31923
839.00088387058406,32013
839.27163480314243,32598
839.54239203312761,33120
839.81315553929653,32532
840.08392530040317,32158
840.35470129519933,32196
840.62548350243412,32344
840.89627190085355,32980
841.16706646920136,32951
841.43786718621845,33494
841.70867403064324,33580
841.97948698121138,33080
842.250306016656,33138
842.5211311157077,33255
842.79196225709416,33302
843.06279941954062,33358
843.33364258177,33695
843.60449172250242,33575
843.87534682045521,33726
844.14620785434363,33674
844.41707480288017,33311
844.68794764477445,33400
844.95882635873375,33453
845.22971092346336,33914
845.50060131766543,33224
845.77149752003982,33616
846.04239950928343,33716
846.31330726409169,33705
846.58422076315651,33426
846.85513998516785,33841
847.12606490881308,33703
847.39699551277738,33465
847.66793177574277,33571
847.93887367638956,33386
848.2098211933951,33471
848.48077430543492,33546
848.75173299118171,33094
849.02269722930544,33840
849.29366699847435,33755
849.56464227735376,33857
849.8356230446069,33834
850.10660927889467,33787
850.37760095887563,33347
850.64859806320521,33325
850.91960057053757,33605
851.1906084595239,33773
851.46162170881314,33640
851.73264029705228,33829
852.00366420288537,34071
852.27469340495452,33970
852.54572788189932,34151
852.81676761235758,33892
853.08781257496412,33604
853.35886274835218,33311
853.62991811115194,33501
853.9009786419922,33404
854.17204431949858,33553
854.44311512229535,33706
854.71419102900393,33680
854.98527201824345,33079
855.25635806863158,33548
855.52744915878316,33374
855.79854526731083,33264
856.069646372825,33069
856.34075245393421,32488
856.61186348924491,31973
856.88297945736053,31689
857.1541003368834,32324
857.42522610641322,33251
857.6963567445473,33313
857.96749222988137,33252
858.23863254100831,33447
858.50977765651987,33526
858.78092755500461,33903
859.05208221505,34319
859.32324161524025,33907
859.59440573415873,33449
859.865574550386,33506
860.13674804250059,33291
860.40792618907926,32660
860.67910896869648,31642
860.95029635992455,30633
861.22148834133407,30515
861.49268489149358,31520
861.76388598896926,32892
862.03509161232557,33290
862.30630174012526,33646
862.57751635092814,33443
862.848735423293,33562
863.11995893577637,34171
863.39118686693234,34256
863.66241919531376,34224
863.933655899471,34112
864.20489695795266,33828
864.47614234930552,34380
864.74739205207436,34331
865.01864604480215,34353
865.28990430602937,34802
865.56116681429546,34937
865.83243354813749,35258
866.10370448609058,35110
866.37497960668838,34583
866.646258888462,34071
866.91754230994127,34458
867.1888298496541,34552
867.46012148612624,34765
867.73141719788214,34602
868.00271696344373,34681
868.27402076133171,34731
868.545328570065,34226
868.81664036815982,34475
869.08795613413179,33851
869.35927584649414,34379
869.63059948375815,34413
869.90192702443392,34193
870.17325844702918,34485
870.44459373005043,34314
870.71593285200186,34161
870.98727579138654,34112
871.25862252670538,33975
871.52997303645793,34041
871.80132729914158,33785
872.07268529325245,33644
872.34404699728475,33599
872.615412389731,32815
872.88678144908226,31926
873.15815415382747,31231
873.42953048245454,32070
873.70091041344892,33686
873.9722939252955,33871
874.24368099647677,34106
874.51507160547339,34342
874.78646573076526,34490
875.05786335083,34930
875.32926444414386,35026
875.60066898918137,34873
875.87207696441578,35082
876.14348834831867,35134
876.41490311935956,35244
876.68632125600709,35810
876.95774273672816,35458
877.22916753998777,35602
877.50059564425,35859
877.77202702797706,35594
878.04346166962944,35041
878.31489954766664,34925
878.58634064054627,35038
878.85778492672455,34860
879.12923238465612,34990
879.40068299279471,34977
879.67213672959178,34858
879.94359357349811,34570
880.21505350296206,34138
880.48651649643159,33996
880.75798253235268,33666
881.02945158917,33493
881.30092364532675,33628
881.57239867926489,33636
881.84387666942484,33676
882.11535759424567,33423
882.386841432165,33229
882.65832816161947,33295
882.92981776104386,32858
883.20131020887175,32865
883.47280548353547,33001
883.74430356346591,33121
884.01580442709292,33389
884.28730805284488,32936
884.55881441914858,33083
884.83032350442977,33186
885.10183528711286,32628
885.37334974562111,32586
885.64486685837608,32637
885.916386603799,32677
886.18790896030862,32598
886.45943390632351,32157
886.73096142026009,33029
887.00249148053433,32663
887.27402406556064,32300
887.545559153752,31904
887.81709672352054,32161
888.088636753277,32228
888.36017922143128,32481
888.63172410639152,32755
888.903271386565,32126
889.1748210403581,32333
889.44637304617527,32081
889.717927382421,32450
889.98948402749727,32510
890.26104295980633,32445
890.532604157748,32518
890.80416759972172,32380
891.075733264126,32351
891.34730112935767,32498
891.61887117381309,32412
891.890443375887,32513
892.16201771397311,32276
892.43359416646467,32069
892.70517271175322,32103
892.97675332822962,31637
893.24833599428337,31882
893.51992068830339,31284
893.79150738867725,31590
894.06309607379183,31957
894.33468672203242,31888
894.606279311784,31668
