Wavelength,Intensity
804.40432199866621,32887
804.67409253372216,33259
804.94387206024635,33587
805.21366055740634,33824
805.483458004366,33652
805.75326438028492,33260
806.02307966431954,33510
806.29290383562261,33436
806.56273687334271,33659
806.83257875662537,33504
807.1024294646121,33248
807.37228897644059,33873
807.64215727124542,34319
807.91203432815689,34448
808.1819201263022,34943
808.45181464480459,35428
808.72171786278386,35652
808.991629759356,35772
809.26155031363373,35801
809.53147950472589,35436
809.80141731173774,35989
810.07136371377123,35778
810.34131868992449,36507
810.611282219292,36194
810.88125428096475,36858
811.15123485403069,36916
811.42122391757346,36670
811.69122145067354,37183
811.961227432408,37633
812.23124184185008,38276
812.50126465806977,38475
812.77129586013348,38518
813.04133542710417,38640
813.3113833380412,38574
813.58143957200036,38198
813.85150410803453,38338
814.12157692519236,38272
814.39165800251965,38167
814.66174731905824,38133
814.93184485384722,37665
815.20195058592151,38363
815.47206449431326,37951
815.74218655805043,38140
816.0123167561585,38397
816.282455067659,38155
816.55260147156991,38165
816.82275594690634,38031
817.09291847267968,37911
817.36308902789813,37957
817.63326759156632,38040
817.90345414268563,37925
818.17364866025434,37610
818.443851123267,36938
818.714061510715,37072
818.98427980158681,36918
819.25450597486667,36573
819.52474000953646,36464
819.79498188457421,36243
820.06523157895481,35503
820.33548907165,34353
820.6057543416282,34233
820.87602736785425,34707
821.14630812929022,34619
821.41659660489461,34562
821.68689277362273,34041
821.957196614427,33325
822.22750810625587,33683
822.49782722805548,33610
822.76815395876815,33968
823.03848827733339,33689
823.30883016268683,32498
823.579179593762,32664
823.84953654948811,33753
824.11990100879223,33693
824.39027295059748,34611
824.66065235382428,33420
824.93103919738985,32135
825.201433460208,33664
825.47183512118988,34301
825.74224415924311,34117
826.01266055327244,34063
826.2830842821794,34046
826.55351532486247,33797
826.82395366021717,33917
827.0943992671356,34344
827.36485212450714,36151
827.63531221121809,37226
827.90577950615136,36413
828.17625398818723,35810
828.44673563620279,35668
828.71722442907208,35738
828.98772034566593,35114
829.2582233648526,33480
829.52873346549688,32194
829.799250626461,30117
830.06977482660375,30187
830.34030604478141,32203
830.61084425984689,34183
830.88138945065032,35004
831.15194159603914,34692
831.42250067485713,35210
831.69306666594582,36139
831.96363954814365,36679
832.234219300286,36130
832.50480590120515,35158
832.77539932973093,34782
833.04599956469008,34990
833.31660658490625,35382
833.58722036920062,36139
833.85784089639117,36187
834.128468145293,35225
834.39910209471861,33562
834.66974272347727,33593
834.94039001037606,33844
835.21104393421854,34065
835.48170447380573,34527
835.75237160793574,34196
836.02304531540426,33581
836.29372557500358,34224
836.56441236552382,34179
836.8351056657516,34911
837.10580545447147,34611
837.3765117104648,34354
837.64722441251035,34144
837.91794353938394,35223
838.18866906985909,34726
838.459400982706,34146
838.73013925669261,34072
839.00088387058406,33891
839.27163480314243,34456
839.54239203312761,34979
839.81315553929653,34862
840.08392530040317,34242
840.35470129519933,34210
840.62548350243412,34379
840.89627190085355,35001
841.16706646920136,35071
841.43786718621845,35620
841.70867403064324,35539
841.97948698121138,35523
842.250306016656,35464
842.5211311157077,35419
842.79196225709416,35470
843.06279941954062,35807
843.33364258177,35371
843.60449172250242,35726
843.87534682045521,35642
844.14620785434363,35523
844.41707480288017,35324
844.68794764477445,35492
844.95882635873375,35293
845.22971092346336,35781
845.50060131766543,35009
845.77149752003982,35232
846.04239950928343,35644
846.31330726409169,35782
846.58422076315651,35705
846.85513998516785,35931
847.12606490881308,35769
847.39699551277738,35846
847.66793177574277,35332
