Wavelength,Intensity
804.40432199866621,28169
804.67409253372216,28343
804.94387206024635,28637
805.21366055740634,28904
805.483458004366,28857
805.75326438028492,28649
806.02307966431954,28927
806.29290383562261,28849
806.56273687334271,28782
806.83257875662537,28728
807.1024294646121,28317
807.37228897644059,29085
807.64215727124542,29567
807.91203432815689,29622
808.1819201263022,29940
808.45181464480459,29952
808.72171786278386,30091
808.991629759356,30342
809.26155031363373,30381
809.53147950472589,30725
809.80141731173774,31000
810.07136371377123,30672
810.34131868992449,31401
810.611282219292,31399
810.88125428096475,31532
811.15123485403069,31606
811.42122391757346,31879
811.69122145067354,31904
811.961227432408,32192
812.23124184185008,32577
812.50126465806977,32965
812.77129586013348,33268
813.04133542710417,33459
813.3113833380412,33377
813.58143957200036,33113
813.85150410803453,32979
814.12157692519236,33134
814.39165800251965,32891
814.66174731905824,33097
814.93184485384722,33028
815.20195058592151,33123
815.47206449431326,32838
815.74218655805043,32861
816.0123167561585,33614
816.282455067659,33559
816.55260147156991,33352
816.82275594690634,33310
817.09291847267968,33025
817.36308902789813,33194
817.63326759156632,33072
817.90345414268563,32755
818.17364866025434,32435
818.443851123267,32723
818.714061510715,32376
818.98427980158681,32479
819.25450597486667,31893
819.52474000953646,31835
819.79498188457421,31903
820.06523157895481,31687
820.33548907165,30550
820.6057543416282,30328
820.87602736785425,30764
821.14630812929022,30790
821.41659660489461,30592
821.68689277362273,30453
821.957196614427,29658
822.22750810625587,29607
822.49782722805548,29788
822.76815395876815,29937
823.03848827733339,29782
823.30883016268683,28677
823.579179593762,28682
823.84953654948811,29692
824.11990100879223,29704
824.39027295059748,30668
824.66065235382428,29901
824.93103919738985,28685
825.201433460208,29634
825.47183512118988,30467
825.74224415924311,30378
826.01266055327244,30289
826.2830842821794,29947
826.55351532486247,29994
826.82395366021717,29886
827.0943992671356,30308
827.36485212450714,31614
827.63531221121809,32413
827.90577950615136,32138
828.17625398818723,32015
828.44673563620279,31272
828.71722442907208,31645
828.98772034566593,30871
829.2582233648526,29906
829.52873346549688,28665
829.799250626461,27157
830.06977482660375,27048
830.34030604478141,28822
830.61084425984689,30424
830.88138945065032,31464
831.15194159603914,31122
831.42250067485713,31164
831.69306666594582,31966
831.96363954814365,32564
832.234219300286,32114
832.50480590120515,31364
832.77539932973093,31246
833.04599956469008,31225
833.31660658490625,31800
833.58722036920062,32177
833.85784089639117,32221
834.128468145293,31181
834.39910209471861,30354
834.66974272347727,29708
834.94039001037606,30510
835.21104393421854,30502
835.48170447380573,30939
835.75237160793574,30739
836.02304531540426,30059
836.29372557500358,30645
836.56441236552382,30618
836.8351056657516,31070
837.10580545447147,30992
837.3765117104648,30506
837.64722441251035,30745
837.91794353938394,31941
838.18866906985909,31223
838.459400982706,31103
838.73013925669261,30562
839.00088387058406,30571
839.27163480314243,30704
839.54239203312761,31508
839.81315553929653,31458
840.08392530040317,31133
840.35470129519933,30932
840.62548350243412,31017
840.89627190085355,31114
841.16706646920136,31647
841.43786718621845,32324
841.70867403064324,32208
841.97948698121138,32074
842.250306016656,31730
842.5211311157077,31872
842.79196225709416,32034
843.06279941954062,32096
843.33364258177,32263
843.60449172250242,32159
843.87534682045521,32430
844.14620785434363,31905
844.41707480288017,32271
844.68794764477445,32105
844.95882635873375,32510
845.22971092346336,32589
