Wavelength,Intensity
804.40432199866621,27119
804.67409253372216,27532
804.94387206024635,28023
805.21366055740634,27835
805.483458004366,27866
805.75326438028492,27804
806.02307966431954,27943
806.29290383562261,28037
806.56273687334271,27590
806.83257875662537,27894
807.1024294646121,27852
807.37228897644059,27902
807.64215727124542,28228
807.91203432815689,28265
808.1819201263022,28620
808.45181464480459,28793
808.72171786278386,29095
808.991629759356,29251
809.26155031363373,28982
809.53147950472589,29117
809.80141731173774,29413
810.07136371377123,29380
810.34131868992449,29916
810.611282219292,29865
810.88125428096475,29851
811.15123485403069,30272
811.42122391757346,30191
811.69122145067354,30079
811.961227432408,30720
812.23124184185008,30941
812.50126465806977,31184
812.77129586013348,31478
813.04133542710417,31252
813.3113833380412,31017
813.58143957200036,31067
813.85150410803453,31091
814.12157692519236,30970
814.39165800251965,30903
814.66174731905824,31180
814.93184485384722,30891
815.20195058592151,30937
815.47206449431326,30809
815.74218655805043,31357
816.0123167561585,31691
816.282455067659,31278
816.55260147156991,31202
816.82275594690634,30767
817.09291847267968,30725
817.36308902789813,31204
817.63326759156632,31074
817.90345414268563,30567
818.17364866025434,30482
818.443851123267,30103
818.714061510715,30402
818.98427980158681,30103
819.25450597486667,29745
819.52474000953646,29326
819.79498188457421,29786
820.06523157895481,29371
820.33548907165,28473
820.6057543416282,28448
820.87602736785425,28583
821.14630812929022,28489
821.41659660489461,28011
821.68689277362273,28377
821.957196614427,27597
822.22750810625587,27604
822.49782722805548,27931
822.76815395876815,27855
823.03848827733339,27413
823.30883016268683,26839
823.579179593762,26885
823.84953654948811,27664
824.11990100879223,27727
824.39027295059748,28232
824.66065235382428,27607
824.93103919738985,26464
825.201433460208,27716
825.47183512118988,28312
825.74224415924311,28122
826.01266055327244,27881
826.2830842821794,27839
826.55351532486247,27638
826.82395366021717,27835
827.0943992671356,28178
827.36485212450714,29181
827.63531221121809,30250
827.90577950615136,29386
828.17625398818723,28910
828.44673563620279,29061
828.71722442907208,29236
828.98772034566593,28343
829.2582233648526,27629
829.52873346549688,26402
829.799250626461,25152
830.06977482660375,25053
830.34030604478141,26412
830.61084425984689,28221
830.88138945065032,28701
831.15194159603914,28519
831.42250067485713,28602
831.69306666594582,29529
831.96363954814365,29481
832.234219300286,29460
832.50480590120515,28549
832.77539932973093,28163
833.04599956469008,28269
833.31660658490625,28937
833.58722036920062,29191
833.85784089639117,29248
834.128468145293,28343
834.39910209471861,27233
834.66974272347727,27192
834.94039001037606,27711
835.21104393421854,27915
835.48170447380573,28147
835.75237160793574,27855
836.02304531540426,27406
836.29372557500358,27831
836.56441236552382,27730
836.8351056657516,28155
837.10580545447147,27978
837.3765117104648,27475
837.64722441251035,27561
837.91794353938394,28434
838.18866906985909,28121
838.459400982706,27621
838.73013925669261,27389
839.00088387058406,27366
839.27163480314243,28122
839.54239203312761,28506
839.81315553929653,28388
840.08392530040317,27586
840.35470129519933,27956
840.62548350243412,27928
840.89627190085355,27915
841.16706646920136,28793
841.43786718621845,28764
841.70867403064324,28627
841.97948698121138,28561
842.250306016656,28578
842.5211311157077,28405
842.79196225709416,28442
843.06279941954062,28455
843.33364258177,28610
843.60449172250242,28554
843.87534682045521,28693
844.14620785434363,28697
844.41707480288017,28325
844.68794764477445,28326
844.95882635873375,28610
845.22971092346336,28636
845.50060131766543,28426
845.77149752003982,28314
846.04239950928343,28876
846.31330726409169,28339
846.58422076315651,28721
846.85513998516785,28501
847.12606490881308,28694
847.39699551277738,28786
847.66793177574277,28351
847.93887367638956,28700
848.2098211933951,28432
848.48077430543492,28743
848.75173299118171,28527
849.02269722930544,28737
849.29366699847435,28789
849.56464227735376,28637
849.8356230446069,28543
850.10660927889467,28816
850.37760095887563,28368
850.64859806320521,28160
850.91960057053757,28635
851.1906084595239,28552
851.46162170881314,28483
851.73264029705228,28643
852.00366420288537,28954
852.27469340495452,28824
852.54572788189932,28629
852.81676761235758,28602
853.08781257496412,28388
853.35886274835218,28389
853.62991811115194,28148
853.9009786419922,28114
854.17204431949858,28429
854.44311512229535,28332
854.71419102900393,28041
854.98527201824345,28017
855.25635806863158,27981
855.52744915878316,28083
855.79854526731083,27942
856.069646372825,28018
856.34075245393421,27263
856.61186348924491,27024
856.88297945736053,27137
857.1541003368834,27470
857.42522610641322,28070
857.6963567445473,28296
857.96749222988137,27899
858.23863254100831,28231
858.50977765651987,28377
858.78092755500461,29031
859.05208221505,29108
859.32324161524025,28748
859.59440573415873,28147
859.865574550386,28231
860.13674804250059,27988
860.40792618907926,27496
860.67910896869648,26527
860.95029635992455,26266
861.22148834133407,26215
861.49268489149358,26784
861.76388598896926,27600
862.03509161232557,27835
862.30630174012526,28123
862.57751635092814,28061
862.848735423293,28186
863.11995893577637,28553
863.39118686693234,28775
863.66241919531376,28644
863.933655899471,28671
864.20489695795266,28703
864.47614234930552,28428
864.74739205207436,28855
865.01864604480215,28651
865.28990430602937,29087
865.56116681429546,29228
865.83243354813749,29468
866.10370448609058,29487
866.37497960668838,29045
866.646258888462,29090
866.91754230994127,29576
867.1888298496541,29232
867.46012148612624,29561
867.73141719788214,29246
868.00271696344373,29307
868.27402076133171,28878
868.545328570065,28700
868.81664036815982,28937
869.08795613413179,28490
869.35927584649414,28591
869.63059948375815,28677
869.90192702443392,28710
870.17325844702918,29156
870.44459373005043,28709
870.71593285200186,28595
870.98727579138654,28538
871.25862252670538,28308
871.52997303645793,28029
871.80132729914158,28049
872.07268529325245,28392
872.34404699728475,28176
872.615412389731,27352
872.88678144908226,26768
873.15815415382747,26255
873.42953048245454,26971
873.70091041344892,27948
873.9722939252955,28199
874.24368099647677,28259
874.51507160547339,28258
874.78646573076526,28928
875.05786335083,29109
875.32926444414386,29085
875.60066898918137,29122
875.87207696441578,29203
876.14348834831867,29242
876.41490311935956,29417
876.68632125600709,29414
876.95774273672816,29262
877.22916753998777,29826
877.50059564425,29820
877.77202702797706,29409
878.04346166962944,28974
878.31489954766664,29020
878.58634064054627,29217
878.85778492672455,29219
879.12923238465612,28904
879.40068299279471,28869
879.67213672959178,28714
879.94359357349811,28635
880.21505350296206,28486
880.48651649643159,27825
880.75798253235268,28015
881.02945158917,27738
881.30092364532675,27421
881.57239867926489,28067
881.84387666942484,27706
882.11535759424567,27623
882.386841432165,27438
882.65832816161947,27586
882.92981776104386,27300
883.20131020887175,27269
883.47280548353547,27456
883.74430356346591,27397
884.01580442709292,27254
884.28730805284488,27112
884.55881441914858,27206
884.83032350442977,26984
885.10183528711286,27176
885.37334974562111,26852
885.64486685837608,26596
885.916386603799,27102
886.18790896030862,26491
886.45943390632351,26733
886.73096142026009,26923
887.00249148053433,27012
887.27402406556064,26699
887.545559153752,26389
887.81709672352054,26416
888.088636753277,26744
888.36017922143128,26648
888.63172410639152,26900
888.903271386565,26786
889.1748210403581,26420
889.44637304617527,26632
889.717927382421,26839
889.98948402749727,26849
890.26104295980633,26283
890.532604157748,26323
890.80416759972172,26470
891.075733264126,26590
891.34730112935767,26713
891.61887117381309,26750
891.890443375887,26323
892.16201771397311,26387
892.43359416646467,26350
892.70517271175322,26155
892.97675332822962,26141
893.24833599428337,25972
893.51992068830339,25978
893.79150738867725,26172
894.06309607379183,26277
894.33468672203242,26371
894.606279311784,25914
894.87787382143006,25831
895.1494702293536,25791
895.421068513936,25822
895.69266865355848,26130
895.96427062660041,25687
896.23587441144127,25770
896.50747998645863,25559
896.77908733002971,25692
897.0506964205307,25622
897.32230723633666,25465
897.59391975582218,25314
897.86553395736053,25266
898.13714981932458,25093
898.40876732008564,25295
898.680386438015,25128
898.95200715148235,25289
899.223629438857,24990
899.49525327850722,24583
899.76687864880046,24270
900.03850552810354,24057
900.31013389478221,24372
900.58176372720163,24714
900.85339500372606,24481
901.12502770271885,23953
901.39666180254289,23565
901.66829728156006,23667
901.93993411813176,23028
902.211572290618,22891
902.48321177737887,22731
902.754852556773,22973
903.02649460715907,22467
903.29813790689423,22110
903.56978243433548,21980
903.841428167839,22286
904.1130750857601,22171
904.38472316645357,22005
904.65637238827355,22622
904.92802272957351,22608
905.199674168706,22013
905.47132668402332,21093
905.74298025387691,19834
906.0146348566177,20128
906.28629047059565,21142
906.55794707416067,22202
906.82960464566179,21336
907.10126316344736,20692
907.37292260586526,20664
907.64458295126258,20623
907.91624417798607,20834
908.187906264382,20870
908.459569188796,20870
908.73123292957268,20895
909.00289746505723,21032
909.27456277359306,20853
909.54622883352386,20728
909.8178956231925,21080
910.08956312094165,21501
910.36123130511294,21875
910.63290015404834,22360
910.90456964608825,21979
911.1762397595736,21864
911.44791047284446,22211
911.71958176424039,21997
911.99125361210054,21871
912.2629259947638,21524
912.53459889056853,21573
912.80627227785237,21209
913.07794613495332,20531
913.34962044020824,20345
913.62129517195376,20171
913.89297030852651,19745
914.16464582826245,19554
914.43632170949718,19626
914.70799793056574,19446
914.9796744698034,18897
915.25135130554463,19341
915.52302841612368,19603
915.79470577987456,19054
916.066383375131,19130
916.33806118022619,19062
916.60973917349327,18968
916.88141733326484,18991
917.15309563787355,19095
917.42477406565183,19043
917.69645259493132,18850
917.96813120404386,19275
918.239809871321,19606
918.51148857509372,19186
918.7831672936934,18787
919.0548460054506,19420
919.32652468869617,19357
919.59820332176037,18563
919.86988188297335,17709
920.14156035066526,17312
920.41323870316592,17668
920.6849169188049,17991
920.95659497591214,18819
921.22827285281653,19014
921.49995052784766,18783
921.77162797933477,18217
922.04330518560664,17348
922.31498212499207,16904
922.5866587758203,17099
922.85833511641977,17970
923.130011125119,18062
923.40168678024679,18328
923.67336206013135,17900
923.94503694310151,17365
924.21671140748515,17146
924.48838543161094,16692
924.760058993807,17337
925.03173207240184,17967
925.30340464572339,17848
925.57507669210008,18005
925.84674818986025,18440
926.118419117332,18261
926.39008945284354,18022
926.66175917472344,18518
926.93342826129992,18897
927.20509669090131,18854
927.47676444185606,18247
927.74843149249261,17667
928.02009782113976,17703
928.29176340612594,17624
928.56342822578006,17455
928.83509225843079,17745
929.10675548240738,18080
929.37841787603827,18122
929.65007941765327,17714
929.92174008558118,17442
930.19339985815191,17026
930.46505871369482,16938
930.73671663053972,16931
931.00837358701642,16858
931.28002956145508,16762
931.55168453218607,16956
931.82333847753966,16812
932.09499137584658,17038
932.36664320543787,17064
932.63829394464426,16770
932.9099435717975,16650
933.1815920652291,16631
933.45323940327046,17030
933.7248855642539,17138
933.99653052651161,16364
934.26817426837636,16167
934.53981676818091,15970
934.81145800425827,15773
935.0830979549421,15575
935.354736598566,15378
935.62637391346414,15181
935.89800987797071,14984
936.16964447042039,14787
936.44127766914858,14590
936.71290945249029,14392
936.98453979878138,14195
937.25616868635814,13998
937.52779609355673,14094
937.79942199871425,13517
938.071046380168,13574
938.34266921625544,13229
938.61429048531454,12796
938.88591016568421,12663
939.1575282357029,12728
939.4291446737102,12444
939.7007594580457,12584
939.97237256704989,12562
940.24398397906316,12393
940.51559367242692,12100
940.78720162548257,11866
941.05880781657231,11949
941.33041222403892,11775
941.6020148262254,12163
941.87361560147508,12466
942.14521452813267,12401
942.41681158454242,11992
942.6884067490497,11870
942.96000000000015,11939
943.23159131574,11920
943.50318067461637,11915
943.77476805497668,11667
944.04635343516884,11525
944.31793679354155,11475
944.58951810844371,11455
944.86109735822561,11470
945.13267452123739,11498
945.40424957583014,11662
945.67582250035559,11825
945.94739327316586,11989
946.21896187261439,12152
946.49052827705418,12316
946.76209246484018,11851
947.033654414327,11664
947.30521410387018,11322
947.57677151182634,11518
947.84832661655241,11267
948.11987939640619,11455
948.391429829746,11457
948.66297789493126,11341
948.93452357032174,11515
949.20606683427832,11315
949.4776076651624,11218
949.74914604133608,10990
950.02068194116225,10920
950.29221534300473,11438
950.563746225228,11270
950.83527456619765,10629
951.10680034427946,10539
951.37832353784063,10738
951.64984412524882,11280
951.92136208487273,11332
952.19287739508172,11105
952.46439003424575,10828
952.73589998073658,10704
953.00740721292584,10754
953.27891170918656,10940
953.55041344789208,11021
953.8219124074177,11124
954.09340856613869,11233
954.36490190243126,11277
954.63639239467307,10917
954.90788002124225,11075
955.17936476051818,11006
955.450846590881,11113
955.722325490712,11483
955.99380143839289,11387
956.26527441230689,11148
956.536744390838,10787
956.80821135237136,10581
957.07967527529274,10667
957.35113613798944,11135
957.62259391884936,11475
957.89404859626143,11705
958.16550014861582,11619
958.43694855430363,11111
958.70839379171684,10702
958.979835839249,10660
959.2512746752941,10752
959.52271027824759,10793
959.79414262650573,11014
960.06557169846633,11551
960.33699747252774,11645
960.60841992708981,11423
960.87983904055318,11300
961.15125479131984,11474
961.42266715779306,11065
961.694076118377,10998
961.96548165147669,11380
962.23688373549908,11282
962.50828234885159,11050
962.77967746994329,11033
963.051069077184,11213
963.32245714898522,11183
963.59384166375889,10785
963.86522259991909,11296
964.13659993588067,11297
964.4079736500596,11967
964.679343720873,11748
964.95071012673986,11435
965.22207284607975,11381
965.49343185731368,11405
965.76478713886422,11134
966.03613866915464,10792
966.30748642661013,10905
966.57883038965667,11241
966.85017053672209,11351
967.12150684623475,11466
967.39283929662508,11429
967.66416786632453,11259
967.935492533766,11469
968.20681327738328,11783
968.47813007561217,11700
968.74944290688939,11439
969.02075174965319,11107
969.29205658234309,11102
969.56335738340033,11106
969.83465413126714,11540
970.10594680438714,11867
970.37723538120588,11850
970.64851984016991,11343
970.91980015972729,11352
971.19107631832742,11644
971.46234829442108,11410
971.7336160664612,11586
972.00487961290128,11674
972.27613891219664,11738
972.54739394280443,11578
972.81864468318258,11590
973.08989111179119,11370
973.36113320709148,11291
973.63237094754629,11550
973.90360431162,11695
974.17483327777859,12132
974.44605782448946,12286
974.7172779302216,12529
974.98849357344545,12003
975.25970473263317,12216
975.53091138625871,12450
975.80211351279718,12235
976.07331109072538,12356
976.344504098522,12376
976.61569251466665,12356
976.88687631764162,12229
977.15805548592994,12219
977.42922999801658,12393
977.70039983238837,12554
977.97156496753325,12600
978.24272538194145,12515
978.51388105410444,12373
978.7850319625154,12305
979.05617808566944,12312
979.32731940206315,12155
979.59845589019494,11923
979.86958752856481,12083
980.14071429567457,11959
980.41183617002787,11672
980.68295313012982,11643
980.95406515448735,11602
981.22517222160957,11985
981.4962743100067,11908
981.76737139819124,11807
982.038463464677,11970
982.30955048798,11632
982.580632446618,11671
982.85170931911034,11349
983.12278108397845,11556
983.39384771974517,11693
983.66490920493561,11823
983.93596551807673,11991
984.20701663769671,12193
984.47806254232648,11946
984.74910321049833,11779
985.020138620746,11778
985.291168751606,11660
985.5621935816165,11623
985.833213089317,11716
986.10422725324952,11690
986.37523605195759,11530
986.64623946398706,11496
986.91723746788534,11694
987.18823004220212,11595
987.45921716548878,11880
987.73019881629864,12101
988.00117497318706,12027
988.27214561471169,12001
988.54311071943164,12002
988.81407026590841,11944
989.08502423270511,11771
989.3559725983871,11712
989.62691534152214,11609
989.89785244067912,11714
990.16878387442978,12020
990.43970962134745,11916
990.710629660008,12040
990.98154396898826,12091
