Wavelength,Intensity
804.40432199866621,44153
804.67409253372216,44712
804.94387206024635,45123
805.21366055740634,45571
805.483458004366,45159
805.75326438028492,45181
806.02307966431954,44923
806.29290383562261,44901
806.56273687334271,45329
806.83257875662537,44488
807.1024294646121,44774
807.37228897644059,45247
807.64215727124542,46244
807.91203432815689,46445
808.1819201263022,46681
808.45181464480459,47016
808.72171786278386,47557
808.991629759356,48027
809.26155031363373,48440
809.53147950472589,47585
809.80141731173774,48096
810.07136371377123,48264
810.34131868992449,48702
810.611282219292,49063
810.88125428096475,49473
811.15123485403069,50267
811.42122391757346,50156
811.69122145067354,50152
811.961227432408,50477
812.23124184185008,51412
812.50126465806977,51865
812.77129586013348,52173
813.04133542710417,51972
813.3113833380412,51949
813.58143957200036,51952
813.85150410803453,52221
814.12157692519236,52315
814.39165800251965,51906
814.66174731905824,51819
814.93184485384722,51458
815.20195058592151,51357
815.47206449431326,51119
815.74218655805043,51489
816.0123167561585,52211
816.282455067659,51950
816.55260147156991,51770
816.82275594690634,51151
817.09291847267968,50910
817.36308902789813,51636
817.63326759156632,51745
817.90345414268563,51237
818.17364866025434,50629
818.443851123267,50019
818.714061510715,50218
818.98427980158681,49764
819.25450597486667,49792
819.52474000953646,49165
819.79498188457421,49181
820.06523157895481,48645
820.33548907165,47066
820.6057543416282,46467
820.87602736785425,47102
821.14630812929022,47029
821.41659660489461,46698
821.68689277362273,46391
821.957196614427,45466
822.22750810625587,45566
822.49782722805548,45390
822.76815395876815,45814
823.03848827733339,45470
823.30883016268683,44205
823.579179593762,43619
823.84953654948811,45183
824.11990100879223,45342
824.39027295059748,46701
824.66065235382428,45519
824.93103919738985,43813
825.201433460208,45152
825.47183512118988,46149
825.74224415924311,46684
826.01266055327244,46088
826.2830842821794,45799
826.55351532486247,45584
826.82395366021717,45415
827.0943992671356,46094
827.36485212450714,48249
827.63531221121809,49502
827.90577950615136,48724
828.17625398818723,47675
828.44673563620279,47677
828.71722442907208,48265
828.98772034566593,46444
829.2582233648526,45276
829.52873346549688,43266
829.799250626461,40492
830.06977482660375,39975
830.34030604478141,42971
830.61084425984689,46293
830.88138945065032,47129
831.15194159603914,46672
831.42250067485713,47038
831.69306666594582,48113
831.96363954814365,49073
832.234219300286,48470
832.50480590120515,46883
832.77539932973093,46549
833.04599956469008,46935
833.31660658490625,47740
833.58722036920062,48145
833.85784089639117,48520
834.128468145293,47014
834.39910209471861,44774
834.66974272347727,44420
834.94039001037606,45134
835.21104393421854,45392
835.48170447380573,45670
835.75237160793574,45643
836.02304531540426,44993
836.29372557500358,45659
836.56441236552382,45132
836.8351056657516,46107
837.10580545447147,46093
837.3765117104648,45082
837.64722441251035,44959
837.91794353938394,46728
838.18866906985909,46031
838.459400982706,45717
838.73013925669261,44918
839.00088387058406,44519
839.27163480314243,45552
839.54239203312761,46487
839.81315553929653,46350
840.08392530040317,45290
840.35470129519933,45395
840.62548350243412,45526
840.89627190085355,46031
841.16706646920136,46714
841.43786718621845,47202
841.70867403064324,47241
841.97948698121138,46965
842.250306016656,47313
842.5211311157077,46628
842.79196225709416,46648
843.06279941954062,46865
843.33364258177,46926
843.60449172250242,47002
843.87534682045521,47393
844.14620785434363,47150
844.41707480288017,46606
844.68794764477445,46887
844.95882635873375,46790
845.22971092346336,47376
845.50060131766543,46316
845.77149752003982,46506
846.04239950928343,47080
846.31330726409169,47072
846.58422076315651,46698
846.85513998516785,46969
847.12606490881308,47078
847.39699551277738,46933
847.66793177574277,46565
847.93887367638956,46614
848.2098211933951,46403
848.48077430543492,46699
848.75173299118171,46580
849.02269722930544,47144
849.29366699847435,47221
849.56464227735376,46786
849.8356230446069,46846
850.10660927889467,46670
850.37760095887563,46218
850.64859806320521,46411
850.91960057053757,46271
851.1906084595239,46718
851.46162170881314,46886
851.73264029705228,46820
852.00366420288537,47421
852.27469340495452,47141
852.54572788189932,47108
852.81676761235758,46517
853.08781257496412,46917
853.35886274835218,46474
853.62991811115194,46048
853.9009786419922,46028
854.17204431949858,46352
854.44311512229535,46177
854.71419102900393,46144
854.98527201824345,46054
855.25635806863158,45761
855.52744915878316,45669
855.79854526731083,46184
856.069646372825,45493
856.34075245393421,44715
856.61186348924491,43321
856.88297945736053,42903
857.1541003368834,44071
857.42522610641322,45138
857.6963567445473,45650
857.96749222988137,45425
858.23863254100831,45699
858.50977765651987,45664
858.78092755500461,46649
859.05208221505,47484
859.32324161524025,46690
859.59440573415873,45410
859.865574550386,45593
860.13674804250059,45470
860.40792618907926,44552
860.67910896869648,43119
860.95029635992455,41311
861.22148834133407,40146
861.49268489149358,41939
861.76388598896926,44416
862.03509161232557,44840
862.30630174012526,45208
862.57751635092814,45278
862.848735423293,45435
863.11995893577637,46108
863.39118686693234,45993
863.66241919531376,46647
863.933655899471,46220
864.20489695795266,46092
864.47614234930552,46137
864.74739205207436,46360
865.01864604480215,46075
865.28990430602937,46702
865.56116681429546,47093
865.83243354813749,47450
866.10370448609058,47281
866.37497960668838,46703
866.646258888462,46262
866.91754230994127,46400
867.1888298496541,46035
867.46012148612624,46755
867.73141719788214,46332
868.00271696344373,46126
868.27402076133171,45898
868.545328570065,45733
868.81664036815982,45807
869.08795613413179,45437
869.35927584649414,45858
869.63059948375815,45508
869.90192702443392,46056
870.17325844702918,45561
870.44459373005043,45443
870.71593285200186,45436
870.98727579138654,45078
871.25862252670538,44720
871.52997303645793,44948
871.80132729914158,44633
872.07268529325245,44375
872.34404699728475,44164
872.615412389731,42983
872.88678144908226,41522
873.15815415382747,40038
873.42953048245454,41102
873.70091041344892,43491
873.9722939252955,43837
874.24368099647677,44413
874.51507160547339,44737
874.78646573076526,45161
875.05786335083,45277
875.32926444414386,45244
875.60066898918137,44537
875.87207696441578,44932
876.14348834831867,45228
876.41490311935956,45727
876.68632125600709,45185
876.95774273672816,45342
877.22916753998777,45406
877.50059564425,45408
877.77202702797706,45355
878.04346166962944,44784
878.31489954766664,44523
878.58634064054627,44766
878.85778492672455,44712
879.12923238465612,44788
879.40068299279471,44620
879.67213672959178,44434
879.94359357349811,44241
880.21505350296206,43833
880.48651649643159,43333
880.75798253235268,43541
881.02945158917,43028
881.30092364532675,42710
881.57239867926489,42955
881.84387666942484,42853
882.11535759424567,42877
882.386841432165,42707
882.65832816161947,42732
882.92981776104386,42785
883.20131020887175,42723
883.47280548353547,42320
883.74430356346591,42683
884.01580442709292,42537
884.28730805284488,42097
884.55881441914858,42157
884.83032350442977,42754
885.10183528711286,41915
885.37334974562111,41946
885.64486685837608,41669
885.916386603799,41532
886.18790896030862,41219
886.45943390632351,41677
886.73096142026009,42057
887.00249148053433,41970
887.27402406556064,41373
887.545559153752,40456
887.81709672352054,40527
888.088636753277,41032
888.36017922143128,41514
888.63172410639152,41416
888.903271386565,41250
889.1748210403581,41445
889.44637304617527,41215
889.717927382421,41158
889.98948402749727,41710
890.26104295980633,41234
890.532604157748,41093
890.80416759972172,41218
891.075733264126,41031
891.34730112935767,41400
891.61887117381309,40976
891.890443375887,40857
892.16201771397311,41103
892.43359416646467,40788
892.70517271175322,40449
892.97675332822962,40317
893.24833599428337,39954
893.51992068830339,39872
893.79150738867725,40197
894.06309607379183,40624
894.33468672203242,40489
894.606279311784,39985
894.87787382143006,39819
895.1494702293536,39784
895.421068513936,40123
895.69266865355848,40561
895.96427062660041,39780
896.23587441144127,39495
896.50747998645863,39413
896.77908733002971,39453
897.0506964205307,39387
897.32230723633666,39067
897.59391975582218,39138
897.86553395736053,39150
898.13714981932458,39077
898.40876732008564,38519
898.680386438015,38792
898.95200715148235,38619
899.223629438857,38453
899.49525327850722,38138
899.76687864880046,37359
900.03850552810354,36998
900.31013389478221,37639
900.58176372720163,37598
900.85339500372606,37606
901.12502770271885,36835
901.39666180254289,36485
901.66829728156006,36016
901.93993411813176,35367
902.211572290618,34277
902.48321177737887,34454
902.754852556773,34728
903.02649460715907,34018
903.29813790689423,33082
903.56978243433548,32757
903.841428167839,33110
904.1130750857601,32705
904.38472316645357,32425
904.65637238827355,33631
904.92802272957351,33755
905.199674168706,33056
905.47132668402332,31355
905.74298025387691,28859
906.0146348566177,28314
906.28629047059565,31388
906.55794707416067,33687
906.82960464566179,32439
907.10126316344736,30496
907.37292260586526,30127
907.64458295126258,30443
907.91624417798607,30552
908.187906264382,30779
908.459569188796,30710
908.73123292957268,30922
909.00289746505723,31065
909.27456277359306,30637
909.54622883352386,30594
909.8178956231925,31669
910.08956312094165,32656
910.36123130511294,33781
910.63290015404834,34349
910.90456964608825,33719
911.1762397595736,32874
911.44791047284446,33595
911.71958176424039,33642
911.99125361210054,33391
912.2629259947638,32477
912.53459889056853,32710
912.80627227785237,32404
913.07794613495332,30825
913.34962044020824,30305
913.62129517195376,30606
913.89297030852651,29207
914.16464582826245,28458
914.43632170949718,28945
914.70799793056574,29252
914.9796744698034,28067
915.25135130554463,28512
915.52302841612368,28948
915.79470577987456,28133
916.066383375131,28380
916.33806118022619,28554
916.60973917349327,28426
916.88141733326484,28237
917.15309563787355,28233
917.42477406565183,27798
917.69645259493132,27602
917.96813120404386,28932
918.239809871321,30297
918.51148857509372,28873
918.7831672936934,27676
919.0548460054506,28718
919.32652468869617,29445
919.59820332176037,27965
919.86988188297335,26022
920.14156035066526,24992
920.41323870316592,25066
920.6849169188049,25747
920.95659497591214,27917
921.22827285281653,28659
921.49995052784766,28394
921.77162797933477,27913
922.04330518560664,25667
922.31498212499207,24257
922.5866587758203,24626
922.85833511641977,26264
923.130011125119,27071
923.40168678024679,27612
923.67336206013135,27518
923.94503694310151,26304
924.21671140748515,25045
924.48838543161094,24052
924.760058993807,25375
925.03173207240184,26770
925.30340464572339,26563
925.57507669210008,26643
925.84674818986025,28050
926.118419117332,27669
926.39008945284354,27037
926.66175917472344,27581
926.93342826129992,28455
927.20509669090131,28763
927.47676444185606,28113
927.74843149249261,27201
928.02009782113976,26643
928.29176340612594,26222
928.56342822578006,25869
928.83509225843079,26362
929.10675548240738,27709
929.37841787603827,27264
929.65007941765327,26603
929.92174008558118,25866
930.19339985815191,25683
930.46505871369482,25367
930.73671663053972,25199
931.00837358701642,25002
931.28002956145508,25189
931.55168453218607,25234
931.82333847753966,25271
932.09499137584658,25780
932.36664320543787,25512
932.63829394464426,25267
932.9099435717975,24752
933.1815920652291,24384
933.45323940327046,25292
933.7248855642539,25549
933.99653052651161,25043
934.26817426837636,24047
934.53981676818091,23598
934.81145800425827,23148
935.0830979549421,22699
935.354736598566,22250
935.62637391346414,21800
935.89800987797071,21351
936.16964447042039,20901
936.44127766914858,20452
