Wavelength,Intensity
804.40432199866621,43281
804.67409253372216,44192
804.94387206024635,44642
805.21366055740634,44795
805.483458004366,44733
805.75326438028492,44475
806.02307966431954,44482
806.29290383562261,44451
806.56273687334271,44555
806.83257875662537,44219
807.1024294646121,44034
807.37228897644059,44752
807.64215727124542,45843
807.91203432815689,45621
808.1819201263022,46117
808.45181464480459,46742
808.72171786278386,46961
808.991629759356,47566
809.26155031363373,47860
809.53147950472589,47491
809.80141731173774,47631
810.07136371377123,48142
810.34131868992449,48383
810.611282219292,48866
810.88125428096475,49147
811.15123485403069,49714
811.42122391757346,49125
811.69122145067354,49516
811.961227432408,50006
812.23124184185008,50730
812.50126465806977,51278
812.77129586013348,51337
813.04133542710417,51799
813.3113833380412,51806
813.58143957200036,51416
813.85150410803453,51343
814.12157692519236,51344
814.39165800251965,50783
814.66174731905824,50691
814.93184485384722,50723
815.20195058592151,50571
815.47206449431326,50771
815.74218655805043,51002
816.0123167561585,51411
816.282455067659,51561
816.55260147156991,51245
816.82275594690634,50236
817.09291847267968,50526
817.36308902789813,51091
817.63326759156632,50711
817.90345414268563,50501
818.17364866025434,49861
818.443851123267,49796
818.714061510715,49441
818.98427980158681,49537
819.25450597486667,48989
819.52474000953646,48602
819.79498188457421,48635
820.06523157895481,47904
820.33548907165,46104
820.6057543416282,45813
820.87602736785425,46415
821.14630812929022,45926
821.41659660489461,45918
821.68689277362273,45524
821.957196614427,44582
822.22750810625587,44661
822.49782722805548,44988
822.76815395876815,45275
823.03848827733339,44612
823.30883016268683,43442
823.579179593762,43187
823.84953654948811,44822
824.11990100879223,45118
824.39027295059748,46138
824.66065235382428,45001
824.93103919738985,42879
825.201433460208,44138
825.47183512118988,45648
825.74224415924311,45452
826.01266055327244,45270
826.2830842821794,45390
826.55351532486247,44730
826.82395366021717,45010
827.0943992671356,45537
827.36485212450714,47733
827.63531221121809,48954
827.90577950615136,47995
828.17625398818723,47395
828.44673563620279,47353
828.71722442907208,47519
828.98772034566593,46396
829.2582233648526,45176
829.52873346549688,42466
829.799250626461,39534
830.06977482660375,39934
830.34030604478141,42287
830.61084425984689,45143
830.88138945065032,46254
831.15194159603914,46894
831.42250067485713,46417
831.69306666594582,47705
831.96363954814365,48468
832.234219300286,47701
832.50480590120515,46749
832.77539932973093,45902
833.04599956469008,46254
833.31660658490625,47009
833.58722036920062,47246
833.85784089639117,47642
834.128468145293,46362
834.39910209471861,44369
834.66974272347727,43980
834.94039001037606,44527
835.21104393421854,44881
835.48170447380573,45406
835.75237160793574,44694
836.02304531540426,44000
836.29372557500358,44985
836.56441236552382,44645
836.8351056657516,45578
837.10580545447147,45207
837.3765117104648,44761
837.64722441251035,44726
837.91794353938394,46104
838.18866906985909,45880
838.459400982706,45223
838.73013925669261,44813
839.00088387058406,44379
839.27163480314243,44845
839.54239203312761,46080
839.81315553929653,45741
840.08392530040317,45074
840.35470129519933,45016
840.62548350243412,45489
840.89627190085355,45394
841.16706646920136,46176
841.43786718621845,46749
841.70867403064324,46631
841.97948698121138,46361
842.250306016656,46444
842.5211311157077,45945
842.79196225709416,46095
843.06279941954062,46184
843.33364258177,46499
843.60449172250242,46761
843.87534682045521,46498
844.14620785434363,46608
844.41707480288017,46171
844.68794764477445,46274
844.95882635873375,46665
845.22971092346336,46538
845.50060131766543,45582
845.77149752003982,45881
846.04239950928343,46692
846.31330726409169,46660
846.58422076315651,46121
846.85513998516785,46635
847.12606490881308,46727
847.39699551277738,46255
847.66793177574277,46526
847.93887367638956,46212
848.2098211933951,46177
848.48077430543492,46392
848.75173299118171,46217
849.02269722930544,46574
849.29366699847435,46700
849.56464227735376,46357
849.8356230446069,46594
850.10660927889467,46219
850.37760095887563,46069
850.64859806320521,45807
850.91960057053757,46058
851.1906084595239,46315
851.46162170881314,46561
851.73264029705228,46206
852.00366420288537,46934
852.27469340495452,46888
852.54572788189932,46836
852.81676761235758,46521
853.08781257496412,46184
853.35886274835218,46185
853.62991811115194,45817
853.9009786419922,45825
854.17204431949858,45899
854.44311512229535,46004
854.71419102900393,45866
854.98527201824345,45532
855.25635806863158,45534
855.52744915878316,45498
855.79854526731083,45382
856.069646372825,45206
856.34075245393421,44338
856.61186348924491,43137
856.88297945736053,42436
857.1541003368834,43728
857.42522610641322,44955
857.6963567445473,45515
857.96749222988137,45082
858.23863254100831,45149
858.50977765651987,45412
858.78092755500461,46416
859.05208221505,46907
859.32324161524025,46295
859.59440573415873,45275
859.865574550386,45501
860.13674804250059,45262
860.40792618907926,44042
860.67910896869648,42655
860.95029635992455,41072
861.22148834133407,40134
861.49268489149358,41881
861.76388598896926,43991
862.03509161232557,44597
862.30630174012526,45160
862.57751635092814,45067
862.848735423293,45189
863.11995893577637,46044
863.39118686693234,46186
863.66241919531376,46174
863.933655899471,45553
864.20489695795266,45555
864.47614234930552,45770
864.74739205207436,45834
865.01864604480215,46147
865.28990430602937,46668
865.56116681429546,46667
865.83243354813749,46931
866.10370448609058,46374
866.37497960668838,46255
866.646258888462,45901
866.91754230994127,45935
867.1888298496541,45719
867.46012148612624,46482
867.73141719788214,45745
868.00271696344373,45458
868.27402076133171,45608
868.545328570065,45093
868.81664036815982,45360
869.08795613413179,45275
869.35927584649414,45097
869.63059948375815,45042
869.90192702443392,45197
870.17325844702918,45535
870.44459373005043,45081
870.71593285200186,45076
870.98727579138654,44985
871.25862252670538,44387
871.52997303645793,44428
871.80132729914158,43902
872.07268529325245,44248
872.34404699728475,43768
872.615412389731,42712
872.88678144908226,40947
873.15815415382747,39902
873.42953048245454,41068
873.70091041344892,43382
873.9722939252955,44070
874.24368099647677,43918
874.51507160547339,44011
874.78646573076526,44676
875.05786335083,44894
875.32926444414386,45157
875.60066898918137,44313
875.87207696441578,44299
876.14348834831867,44524
876.41490311935956,44975
876.68632125600709,45182
876.95774273672816,44962
877.22916753998777,45216
877.50059564425,45156
877.77202702797706,44950
878.04346166962944,44576
878.31489954766664,44173
878.58634064054627,44353
878.85778492672455,44503
879.12923238465612,44202
879.40068299279471,44484
879.67213672959178,44097
879.94359357349811,43651
880.21505350296206,43691
880.48651649643159,43272
880.75798253235268,42736
881.02945158917,42478
881.30092364532675,42774
881.57239867926489,42808
881.84387666942484,42345
882.11535759424567,42200
882.386841432165,42107
882.65832816161947,42134
882.92981776104386,42123
883.20131020887175,41666
883.47280548353547,41863
883.74430356346591,42435
884.01580442709292,41979
884.28730805284488,41764
884.55881441914858,41940
884.83032350442977,42116
885.10183528711286,41916
885.37334974562111,41702
885.64486685837608,41445
885.916386603799,40941
886.18790896030862,41234
886.45943390632351,41084
886.73096142026009,41917
887.00249148053433,41688
887.27402406556064,40797
887.545559153752,40135
887.81709672352054,40005
888.088636753277,40808
888.36017922143128,40802
888.63172410639152,41085
888.903271386565,41142
889.1748210403581,40983
889.44637304617527,40874
889.717927382421,40729
889.98948402749727,40757
890.26104295980633,40726
890.532604157748,40823
890.80416759972172,40607
891.075733264126,41004
891.34730112935767,40950
891.61887117381309,40698
891.890443375887,40748
892.16201771397311,40767
892.43359416646467,40356
892.70517271175322,39621
892.97675332822962,39616
893.24833599428337,39637
893.51992068830339,39542
893.79150738867725,39785
894.06309607379183,40195
894.33468672203242,40363
894.606279311784,39999
894.87787382143006,39616
895.1494702293536,39483
895.421068513936,39679
895.69266865355848,39893
895.96427062660041,39649
896.23587441144127,39334
896.50747998645863,39323
896.77908733002971,39288
897.0506964205307,39175
897.32230723633666,38923
897.59391975582218,38346
897.86553395736053,38512
898.13714981932458,39004
898.40876732008564,38690
898.680386438015,38594
898.95200715148235,38355
899.223629438857,38445
899.49525327850722,38187
899.76687864880046,36705
900.03850552810354,36913
900.31013389478221,37495
900.58176372720163,37306
900.85339500372606,37311
901.12502770271885,36523
901.39666180254289,36233
901.66829728156006,35305
901.93993411813176,34780
902.211572290618,33950
902.48321177737887,34275
902.754852556773,34400
903.02649460715907,33944
903.29813790689423,32745
903.56978243433548,32366
903.841428167839,33316
904.1130750857601,32602
904.38472316645357,32142
904.65637238827355,33587
904.92802272957351,33899
905.199674168706,32581
905.47132668402332,31124
905.74298025387691,28493
906.0146348566177,28285
906.28629047059565,31260
906.55794707416067,33180
906.82960464566179,32191
907.10126316344736,30043
907.37292260586526,30130
907.64458295126258,30117
907.91624417798607,30526
908.187906264382,30781
908.459569188796,30868
908.73123292957268,30618
909.00289746505723,31053
909.27456277359306,30652
909.54622883352386,30281
909.8178956231925,31773
910.08956312094165,32703
910.36123130511294,33817
910.63290015404834,34250
910.90456964608825,33852
911.1762397595736,33377
911.44791047284446,33550
911.71958176424039,33370
911.99125361210054,33141
912.2629259947638,32554
912.53459889056853,32608
912.80627227785237,32110
913.07794613495332,30383
913.34962044020824,30192
913.62129517195376,30683
913.89297030852651,29236
914.16464582826245,28656
914.43632170949718,29394
914.70799793056574,29470
914.9796744698034,27994
915.25135130554463,28310
915.52302841612368,28728
915.79470577987456,27794
916.066383375131,28266
916.33806118022619,28408
916.60973917349327,28339
916.88141733326484,28192
917.15309563787355,27989
917.42477406565183,28135
917.69645259493132,27568
917.96813120404386,28549
918.239809871321,29885
918.51148857509372,28696
918.7831672936934,27627
919.0548460054506,28548
919.32652468869617,29372
919.59820332176037,27869
919.86988188297335,25840
920.14156035066526,24883
920.41323870316592,25334
920.6849169188049,25695
920.95659497591214,27614
921.22827285281653,28593
921.49995052784766,28671
921.77162797933477,27747
922.04330518560664,25705
922.31498212499207,24087
922.5866587758203,24821
922.85833511641977,26668
923.130011125119,26962
923.40168678024679,27559
923.67336206013135,27364
923.94503694310151,26091
924.21671140748515,24699
924.48838543161094,23860
924.760058993807,25629
925.03173207240184,26642
925.30340464572339,26389
925.57507669210008,26652
925.84674818986025,27866
926.118419117332,27869
926.39008945284354,26888
926.66175917472344,27649
926.93342826129992,28313
927.20509669090131,28739
927.47676444185606,27693
927.74843149249261,26783
928.02009782113976,26777
928.29176340612594,26097
928.56342822578006,25733
928.83509225843079,26297
929.10675548240738,27512
929.37841787603827,26964
929.65007941765327,26575
929.92174008558118,25921
930.19339985815191,25489
930.46505871369482,25126
930.73671663053972,24944
931.00837358701642,24637
931.28002956145508,24994
931.55168453218607,24767
931.82333847753966,25227
932.09499137584658,25658
932.36664320543787,25299
932.63829394464426,25057
932.9099435717975,24952
933.1815920652291,24302
933.45323940327046,25241
933.7248855642539,25482
933.99653052651161,24886
934.26817426837636,23844
934.53981676818091,23375
934.81145800425827,22906
935.0830979549421,22437
935.354736598566,21968
935.62637391346414,21499
935.89800987797071,21030
936.16964447042039,20561
936.44127766914858,20092
936.71290945249029,19623
936.98453979878138,19154
937.25616868635814,18685
937.52779609355673,19149
937.79942199871425,18091
938.071046380168,17609
938.34266921625544,17371
938.61429048531454,16320
938.88591016568421,15660
939.1575282357029,15661
939.4291446737102,15412
939.7007594580457,15358
939.97237256704989,16139
940.24398397906316,15420
940.51559367242692,14039
940.78720162548257,13955
941.05880781657231,13703
941.33041222403892,13772
941.6020148262254,14237
941.87361560147508,15748
942.14521452813267,15482
942.41681158454242,14371
942.6884067490497,13686
942.96000000000015,14288
943.23159131574,14657
943.50318067461637,14292
943.77476805497668,13374
944.04635343516884,12930
944.31793679354155,13523
944.58951810844371,13780
944.86109735822561,13186
945.13267452123739,13355
945.40424957583014,13864
945.67582250035559,14372
945.94739327316586,14881
946.21896187261439,15389
946.49052827705418,15898
946.76209246484018,15381
947.033654414327,14388
947.30521410387018,13850
947.57677151182634,14106
947.84832661655241,13919
948.11987939640619,13502
948.391429829746,14048
948.66297789493126,14009
948.93452357032174,13836
949.20606683427832,13951
949.4776076651624,13511
949.74914604133608,12856
950.02068194116225,12647
950.29221534300473,13618
950.563746225228,13974
950.83527456619765,12632
951.10680034427946,11767
951.37832353784063,11865
951.64984412524882,13167
951.92136208487273,13860
952.19287739508172,13667
952.46439003424575,12779
952.73589998073658,12280
953.00740721292584,12241
953.27891170918656,12450
953.55041344789208,13113
953.8219124074177,13275
954.09340856613869,13206
954.36490190243126,13436
954.63639239467307,13168
954.90788002124225,13094
955.17936476051818,12803
955.450846590881,13305
955.722325490712,14258
955.99380143839289,14438
956.26527441230689,13666
956.536744390838,12413
956.80821135237136,12000
957.07967527529274,12014
957.35113613798944,12928
957.62259391884936,14193
957.89404859626143,14997
958.16550014861582,14585
958.43694855430363,13925
958.70839379171684,12769
958.979835839249,12064
959.2512746752941,12414
959.52271027824759,12900
959.79414262650573,13410
960.06557169846633,13778
960.33699747252774,14246
960.60841992708981,14184
960.87983904055318,14000
961.15125479131984,13912
961.42266715779306,13202
961.694076118377,13209
961.96548165147669,13851
962.23688373549908,13532
962.50828234885159,13360
962.77967746994329,13319
963.051069077184,13884
963.32245714898522,13792
963.59384166375889,12820
963.86522259991909,13112
964.13659993588067,14378
964.4079736500596,14886
964.679343720873,15455
964.95071012673986,14555
965.22207284607975,13849
965.49343185731368,14025
965.76478713886422,13854
966.03613866915464,12709
966.30748642661013,12751
966.57883038965667,13433
966.85017053672209,13966
967.12150684623475,14358
967.39283929662508,14384
967.66416786632453,13955
967.935492533766,14349
968.20681327738328,14966
968.47813007561217,14899
968.74944290688939,14207
969.02075174965319,13863
969.29205658234309,13390
969.56335738340033,13791
969.83465413126714,14514
970.10594680438714,15377
970.37723538120588,15562
970.64851984016991,14626
970.91980015972729,13976
971.19107631832742,14402
971.46234829442108,14673
971.7336160664612,14531
972.00487961290128,14705
972.27613891219664,14922
972.54739394280443,14959
972.81864468318258,14852
973.08989111179119,14328
973.36113320709148,13853
973.63237094754629,14392
973.90360431162,15099
974.17483327777859,15633
974.44605782448946,16748
974.7172779302216,16856
974.98849357344545,16228
975.25970473263317,15641
975.53091138625871,16266
975.80211351279718,16617
976.07331109072538,16583
976.344504098522,16442
976.61569251466665,16488
976.88687631764162,16194
977.15805548592994,15705
977.42922999801658,16051
977.70039983238837,16708
977.97156496753325,16596
978.24272538194145,16508
978.51388105410444,16251
978.7850319625154,16169
979.05617808566944,16486
979.32731940206315,16197
979.59845589019494,15599
979.86958752856481,15545
980.14071429567457,15676
980.41183617002787,15305
980.68295313012982,14508
980.95406515448735,14582
981.22517222160957,15179
981.4962743100067,15201
981.76737139819124,15261
982.038463464677,15372
982.30955048798,14940
982.580632446618,14830
982.85170931911034,14090
983.12278108397845,14346
983.39384771974517,14609
983.66490920493561,14720
983.93596551807673,15714
984.20701663769671,16097
984.47806254232648,15601
984.74910321049833,15240
985.020138620746,15103
985.291168751606,14970
985.5621935816165,14939
985.833213089317,15112
986.10422725324952,14829
986.37523605195759,14425
986.64623946398706,14863
986.91723746788534,15127
987.18823004220212,15021
987.45921716548878,14932
987.73019881629864,15811
988.00117497318706,15806
988.27214561471169,15782
988.54311071943164,15489
988.81407026590841,15414
989.08502423270511,15399
989.3559725983871,15048
989.62691534152214,15004
989.89785244067912,15005
990.16878387442978,15350
990.43970962134745,15465
990.710629660008,15756
990.98154396898826,15636
991.25245252686852,15257
991.52335531223014,15100
991.79425230365723,15167
992.06514347973553,15131
992.33602881905313,15163
992.60690830019985,15277
992.87778190176834,15615
993.14864960235263,15816
993.41951138054924,15731
993.69036721495718,15604
993.96121708417684,15418
994.23206096681122,15473
994.50289884146548,15109
994.773730686747,15002
995.04455648126532,15244
995.31537620363179,15281
995.58618983246049,15119
995.85699734636773,15199
996.12779872397141,15198
996.39859394389225,15084
996.669382984753,15120
996.94016582517884,14725
997.21094244379674,14915
997.48171281923658,14972
997.75247693012977,14851
998.02323475511071,14935
998.29398627281546,14841
998.56473146188284,14884
998.835470300954,14848
999.10620276867189,14770
999.37692884368232,14708
999.64764850463314,14591
999.91836173017475,14344
1000.1890684989594,14363
1000.4597687896423,14492
1000.7304625808807,14424
1001.0011498513344,14441
1001.2718305796653,14392
1001.5425047445382,14407
1001.8131723246194,14450
1002.0838332985784,14328
1002.354487645087,14267
1002.6251353428191,14109
1002.8957763704515,14266
1003.1664107066628,14071
1003.4370383301344,14036
1003.7076592195505,14118
1003.9782733535972,14021
1004.2488807109632,14156
1004.51948127034,13817
1004.7900750104209,14086
1005.0606619099027,13930
1005.3312419474836,13924
1005.6018151018653,13800
1005.8723813517515,13697
1006.1429406758482,13631
1006.4134930528647,13617
1006.684038461512,13475
1006.9545768805042,13641
1007.2251082885579,13522
1007.4956326643919,13709
1007.7661499867282,13570
1008.0366602342907,13540
1008.3071633858066,13592
1008.5776594200049,13454
1008.848148315618,13173
1009.1186300513804,13334
1009.3891046060294,13170
1009.659571958305,13213
1009.9300320869498,13172
1010.200484970709,13215
1010.4709305883305,13239
1010.7413689185648,13003
1011.011799940165,12906
1011.2822236318875,13019
1011.5526399724904,12786
1011.8230489407355,12920
1012.0934505153864,12505
1012.3638446752102,12640
1012.634231398976,12729
1012.9046106654564,12767
1013.1749824534261,12617
1013.4453467416631,12726
1013.7157035089476,12641
1013.9860527340628,12471
1014.256394395795,12731
1014.5267284729327,12557
1014.797054944268,12745
1015.0673737885946,12239
1015.3376849847103,12443
1015.6079885114149,12499
1015.878284347511,12290
1016.1485724718046,12151
1016.4188528631045,12267
1016.6891255002214,12363
1016.9593903619701,12432
1017.2296474271675,12329
1017.4998966746335,12426
1017.7701380831913,12440
1018.0403716316661,12276
1018.3105972988872,12228
1018.5808150636857,12027
1018.8510249048963,12242
1019.1212268013566,11996
1019.3914207319065,12052
1019.6616066753894,12248
1019.9317846106519,12201
1020.2019545165427,11938
1020.4721163719145,12125
1020.742270155622,12132
1021.0124158465236,12052
1021.2825534234801,11842
1021.552682865356,11992
1021.8228041510181,12039
1022.0929172593364,11953
1022.3630221691847,11943
1022.6331188594387,12039
1022.9032073089776,11986
1023.1732874966838,11932
1023.4433594014425,11879
1023.7134230021425,11826
1023.9834782776747,11772
1024.253525206934,11719
1024.5235637688181,11665
1024.7935939422275,11612
1025.0636157060662,11543
1025.3336290392408,11693
1025.6036339206619,11461
1025.8736303292426,11443
1026.1436182438986,11451
1026.4135976435502,11241
1026.6835685071196,11272
1026.9535308135328,11348
1027.2234845417186,11273
1027.4934296706092,11286
1027.7633661791401,11218
1028.0332940462495,11016
1028.3032132508793,11141
1028.5731237719747,10916
1028.8430255884832,10834
1029.1129186793569,10998
1029.3828030235502,10897
1029.6526786000206,10866
1029.9225453877295,10840
1030.1924033656417,10942
1030.4622525127238,10947
1030.7320928079478,10733
1031.0019242302872,10647
1031.2717467587197,10570
1031.5415603722263,10666
1031.811365049791,10651
1032.0811607704006,10773
1032.3509475130468,10572
1032.6207252567231,10438
1032.890493980427,10388
1033.1602536631592,10387
1033.4300042839241,10420
1033.6997458217288,10415
1033.9694782555844,10183
1034.239201564505,10477
1034.5089157275083,10243
1034.7786207236154,10263
1035.0483165318506,10231
1035.3180031312418,10222
1035.58768050082,10202
1035.8573486196199,10201
1036.12700746668,10168
1036.3966570210416,10292
1036.6662972617498,10148
1036.935928167853,10128
1037.2055497184031,10085
1037.4751618924556,10138
1037.7447646690694,10067
1038.0143580273068,10052
1038.2839419462337,9960
1038.5535164049197,9937
1038.8230813824375,10059
1039.0926368578637,9969
1039.362182810278,9885
1039.6317192187644,9953
1039.9012460624094,9739
1040.1707633203041,9784
1040.4402709715425,9969
1040.7097689952222,9960
1040.9792573704449,9806
1041.248736076315,9758
1041.5182050919414,9822
1041.7876643964362,9658
1042.0571139689152,9755
1042.3265537884974,9525
1042.5959838343063,9564
1042.8654040854678,9673
1043.1348145211132,9744
1043.4042151203755,9642
1043.6736058623926,9675
1043.9429867263059,9563
1044.21235769126,9582
1044.4817187364038,9384
1044.7510698408894,9502
1045.020410983873,9364
1045.2897421445141,9521
1045.5590633019758,9511
1045.8283744354262,9426
1046.0976755240354,9300
1046.3669665469781,9378
1046.636247483433,9395
