Wavelength,Intensity
804.40432199866621,38059
804.67409253372216,38436
804.94387206024635,38698
805.21366055740634,38328
805.483458004366,38544
805.75326438028492,38717
806.02307966431954,38668
806.29290383562261,38515
806.56273687334271,38694
806.83257875662537,38627
807.1024294646121,38921
807.37228897644059,39401
807.64215727124542,39953
807.91203432815689,40279
808.1819201263022,40270
808.45181464480459,41027
808.72171786278386,41538
808.991629759356,41904
809.26155031363373,42101
809.53147950472589,41881
809.80141731173774,42041
810.07136371377123,42495
810.34131868992449,43195
810.611282219292,43083
810.88125428096475,43651
811.15123485403069,43795
811.42122391757346,43916
811.69122145067354,44072
811.961227432408,44574
812.23124184185008,45807
812.50126465806977,45929
812.77129586013348,45858
813.04133542710417,46031
813.3113833380412,45813
813.58143957200036,45992
813.85150410803453,45849
814.12157692519236,46109
814.39165800251965,45740
814.66174731905824,45875
814.93184485384722,45411
815.20195058592151,45526
815.47206449431326,45671
815.74218655805043,46029
816.0123167561585,46233
816.282455067659,46152
816.55260147156991,46273
816.82275594690634,45897
817.09291847267968,46015
817.36308902789813,46068
817.63326759156632,46308
817.90345414268563,45776
818.17364866025434,45690
818.443851123267,45208
818.714061510715,45180
818.98427980158681,45066
819.25450597486667,44310
819.52474000953646,44482
819.79498188457421,44348
820.06523157895481,43566
820.33548907165,42656
820.6057543416282,42038
820.87602736785425,42881
821.14630812929022,42301
821.41659660489461,42559
821.68689277362273,42366
821.957196614427,41559
822.22750810625587,42086
822.49782722805548,41896
822.76815395876815,42555
823.03848827733339,42243
823.30883016268683,40993
823.579179593762,41000
823.84953654948811,42736
824.11990100879223,42452
824.39027295059748,43342
824.66065235382428,42169
824.93103919738985,41113
825.201433460208,42251
825.47183512118988,43224
825.74224415924311,43264
826.01266055327244,42866
826.2830842821794,43340
826.55351532486247,43133
826.82395366021717,43180
827.0943992671356,43626
827.36485212450714,45693
827.63531221121809,46484
827.90577950615136,46078
828.17625398818723,45288
828.44673563620279,45190
828.71722442907208,45363
828.98772034566593,43915
829.2582233648526,43105
829.52873346549688,41337
829.799250626461,39308
830.06977482660375,39695
830.34030604478141,41841
830.61084425984689,43945
830.88138945065032,44853
831.15194159603914,44650
831.42250067485713,45120
831.69306666594582,46344
831.96363954814365,46392
832.234219300286,45740
832.50480590120515,44933
832.77539932973093,44603
833.04599956469008,44920
833.31660658490625,45464
833.58722036920062,46057
833.85784089639117,46498
834.128468145293,45108
834.39910209471861,43301
834.66974272347727,43511
834.94039001037606,43758
835.21104393421854,44116
835.48170447380573,44551
835.75237160793574,44214
836.02304531540426,43754
836.29372557500358,44391
836.56441236552382,43990
836.8351056657516,44835
837.10580545447147,44851
837.3765117104648,44026
837.64722441251035,44177
837.91794353938394,45368
838.18866906985909,45046
838.459400982706,44592
838.73013925669261,44071
839.00088387058406,44391
839.27163480314243,44827
839.54239203312761,45338
839.81315553929653,45095
840.08392530040317,44486
840.35470129519933,44881
840.62548350243412,44905
840.89627190085355,45490
841.16706646920136,46055
841.43786718621845,46326
841.70867403064324,45969
841.97948698121138,46279
842.250306016656,45848
842.5211311157077,45810
842.79196225709416,45815
843.06279941954062,46235
843.33364258177,46130
843.60449172250242,46155
843.87534682045521,46559
844.14620785434363,46264
844.41707480288017,46020
844.68794764477445,45846
844.95882635873375,46422
845.22971092346336,46670
845.50060131766543,45877
845.77149752003982,45805
846.04239950928343,46739
846.31330726409169,46685
846.58422076315651,46369
846.85513998516785,46594
847.12606490881308,46352
847.39699551277738,46478
847.66793177574277,46219
847.93887367638956,46313
848.2098211933951,46354
848.48077430543492,46347
848.75173299118171,46740
849.02269722930544,46444
849.29366699847435,46992
849.56464227735376,46934
849.8356230446069,46708
850.10660927889467,46357
850.37760095887563,46188
850.64859806320521,46271
850.91960057053757,46310
851.1906084595239,46493
851.46162170881314,46791
851.73264029705228,47130
852.00366420288537,46897
852.27469340495452,46838
852.54572788189932,47196
852.81676761235758,47219
853.08781257496412,46609
853.35886274835218,46613
853.62991811115194,46522
853.9009786419922,46455
854.17204431949858,46649
854.44311512229535,46409
854.71419102900393,46316
854.98527201824345,46081
855.25635806863158,46694
855.52744915878316,45822
855.79854526731083,46182
856.069646372825,45512
856.34075245393421,45072
856.61186348924491,43888
856.88297945736053,44128
857.1541003368834,44930
857.42522610641322,45544
857.6963567445473,46061
857.96749222988137,45396
858.23863254100831,45543
858.50977765651987,44915
858.78092755500461,45677
859.05208221505,46159
859.32324161524025,45943
859.59440573415873,45840
859.865574550386,45871
860.13674804250059,45784
860.40792618907926,44755
860.67910896869648,43642
860.95029635992455,42437
861.22148834133407,42264
861.49268489149358,43476
861.76388598896926,45469
862.03509161232557,45410
862.30630174012526,45346
862.57751635092814,45967
862.848735423293,45695
863.11995893577637,46010
863.39118686693234,46240
863.66241919531376,46372
863.933655899471,45922
864.20489695795266,45813
864.47614234930552,45773
864.74739205207436,46253
865.01864604480215,45787
865.28990430602937,46317
865.56116681429546,46193
865.83243354813749,46076
866.10370448609058,46093
866.37497960668838,45931
866.646258888462,45726
866.91754230994127,45771
867.1888298496541,46005
867.46012148612624,46057
867.73141719788214,45404
868.00271696344373,45957
868.27402076133171,45890
868.545328570065,45572
868.81664036815982,46188
869.08795613413179,45782
869.35927584649414,45938
869.63059948375815,45828
869.90192702443392,45642
870.17325844702918,45661
870.44459373005043,45793
870.71593285200186,45324
870.98727579138654,45591
871.25862252670538,44974
871.52997303645793,45093
871.80132729914158,44578
872.07268529325245,44632
872.34404699728475,44019
872.615412389731,43750
872.88678144908226,42483
873.15815415382747,41547
873.42953048245454,42668
873.70091041344892,43638
873.9722939252955,44253
874.24368099647677,44703
874.51507160547339,44972
874.78646573076526,45061
875.05786335083,45280
875.32926444414386,45321
875.60066898918137,44584
875.87207696441578,44846
876.14348834831867,44802
876.41490311935956,45330
876.68632125600709,45481
876.95774273672816,45403
877.22916753998777,45358
877.50059564425,45276
877.77202702797706,45374
878.04346166962944,44689
878.31489954766664,44629
878.58634064054627,44673
878.85778492672455,44768
879.12923238465612,44744
879.40068299279471,44443
879.67213672959178,44193
879.94359357349811,44068
880.21505350296206,43829
880.48651649643159,43613
880.75798253235268,43411
881.02945158917,43009
881.30092364532675,43307
881.57239867926489,43114
881.84387666942484,43366
882.11535759424567,43284
882.386841432165,43029
882.65832816161947,43038
882.92981776104386,42515
883.20131020887175,42648
883.47280548353547,42058
883.74430356346591,42233
884.01580442709292,42445
884.28730805284488,42266
884.55881441914858,42206
884.83032350442977,42248
885.10183528711286,41791
885.37334974562111,41919
885.64486685837608,41521
885.916386603799,41300
886.18790896030862,41644
886.45943390632351,41826
886.73096142026009,41880
887.00249148053433,41714
887.27402406556064,41002
887.545559153752,40736
887.81709672352054,40653
888.088636753277,40981
888.36017922143128,41364
888.63172410639152,41073
888.903271386565,40862
889.1748210403581,40847
889.44637304617527,41211
889.717927382421,41374
889.98948402749727,40936
890.26104295980633,40703
890.532604157748,40838
890.80416759972172,40906
891.075733264126,41009
891.34730112935767,41094
891.61887117381309,40964
891.890443375887,40991
892.16201771397311,40908
892.43359416646467,40462
892.70517271175322,40284
892.97675332822962,40125
893.24833599428337,40041
893.51992068830339,39999
893.79150738867725,40568
894.06309607379183,40462
894.33468672203242,40520
894.606279311784,39960
894.87787382143006,39297
895.1494702293536,39796
895.421068513936,39606
895.69266865355848,39832
895.96427062660041,39515
896.23587441144127,39284
896.50747998645863,39169
896.77908733002971,38908
897.0506964205307,39197
897.32230723633666,38859
897.59391975582218,38617
897.86553395736053,38824
898.13714981932458,38636
898.40876732008564,38276
898.680386438015,38737
898.95200715148235,38313
899.223629438857,38296
899.49525327850722,37284
899.76687864880046,37223
900.03850552810354,36531
900.31013389478221,37116
900.58176372720163,37174
900.85339500372606,36807
901.12502770271885,36370
901.39666180254289,35894
901.66829728156006,35442
901.93993411813176,35042
902.211572290618,34478
902.48321177737887,34434
902.754852556773,34502
903.02649460715907,33845
903.29813790689423,32913
903.56978243433548,33454
903.841428167839,33497
904.1130750857601,33481
904.38472316645357,33480
904.65637238827355,33586
904.92802272957351,34062
905.199674168706,33353
905.47132668402332,31550
905.74298025387691,29562
906.0146348566177,30264
906.28629047059565,32473
906.55794707416067,33464
906.82960464566179,31997
907.10126316344736,30799
907.37292260586526,30904
907.64458295126258,30552
907.91624417798607,31156
908.187906264382,31292
908.459569188796,31157
908.73123292957268,31607
909.00289746505723,32004
909.27456277359306,31363
909.54622883352386,31344
909.8178956231925,32179
910.08956312094165,32913
910.36123130511294,33611
910.63290015404834,34052
910.90456964608825,33014
911.1762397595736,33157
911.44791047284446,33313
911.71958176424039,33365
911.99125361210054,32906
912.2629259947638,32711
912.53459889056853,32650
912.80627227785237,31628
913.07794613495332,30605
913.34962044020824,30126
913.62129517195376,30211
913.89297030852651,29530
914.16464582826245,29133
914.43632170949718,29251
914.70799793056574,29303
