Wavelength,Intensity
804.40432199866621,39013
804.67409253372216,39634
804.94387206024635,39829
805.21366055740634,40063
805.483458004366,39960
805.75326438028492,39890
806.02307966431954,40105
806.29290383562261,40335
806.56273687334271,39867
806.83257875662537,39256
807.1024294646121,39259
807.37228897644059,39569
807.64215727124542,41107
807.91203432815689,40700
808.1819201263022,41033
808.45181464480459,41649
808.72171786278386,42556
808.991629759356,42673
809.26155031363373,43017
809.53147950472589,42328
809.80141731173774,42520
810.07136371377123,42965
810.34131868992449,43541
810.611282219292,43829
810.88125428096475,43969
811.15123485403069,44647
811.42122391757346,44363
811.69122145067354,44330
811.961227432408,45692
812.23124184185008,46039
812.50126465806977,46544
812.77129586013348,46911
813.04133542710417,47328
813.3113833380412,46424
813.58143957200036,46656
813.85150410803453,46795
814.12157692519236,46219
814.39165800251965,46730
814.66174731905824,46909
814.93184485384722,46221
815.20195058592151,46372
815.47206449431326,45976
815.74218655805043,46268
816.0123167561585,46652
816.282455067659,46355
816.55260147156991,45977
816.82275594690634,45930
817.09291847267968,46035
817.36308902789813,46651
817.63326759156632,46196
817.90345414268563,45597
818.17364866025434,45414
818.443851123267,44894
818.714061510715,44849
818.98427980158681,44278
819.25450597486667,43695
819.52474000953646,43105
819.79498188457421,43333
820.06523157895481,42544
820.33548907165,40692
820.6057543416282,40227
820.87602736785425,40970
821.14630812929022,40656
821.41659660489461,40072
821.68689277362273,39998
821.957196614427,38989
822.22750810625587,39230
822.49782722805548,39362
822.76815395876815,39879
823.03848827733339,38968
823.30883016268683,37260
823.579179593762,37741
823.84953654948811,39494
824.11990100879223,39808
824.39027295059748,40858
824.66065235382428,39188
824.93103919738985,37564
825.201433460208,39366
825.47183512118988,40868
825.74224415924311,40702
826.01266055327244,40591
826.2830842821794,40757
826.55351532486247,40223
826.82395366021717,40440
827.0943992671356,41406
827.36485212450714,44815
827.63531221121809,46102
827.90577950615136,44971
828.17625398818723,43749
828.44673563620279,43600
828.71722442907208,43482
828.98772034566593,42184
829.2582233648526,40347
829.52873346549688,37194
829.799250626461,33864
830.06977482660375,34339
830.34030604478141,38388
830.61084425984689,41672
830.88138945065032,43258
831.15194159603914,43355
831.42250067485713,43278
831.69306666594582,45096
831.96363954814365,45746
832.234219300286,44723
832.50480590120515,43144
832.77539932973093,42425
833.04599956469008,43293
833.31660658490625,44409
833.58722036920062,45362
833.85784089639117,45399
834.128468145293,43264
834.39910209471861,40601
834.66974272347727,40338
834.94039001037606,41682
835.21104393421854,41870
835.48170447380573,43138
835.75237160793574,41769
836.02304531540426,41375
836.29372557500358,42370
836.56441236552382,42258
836.8351056657516,43772
837.10580545447147,43072
837.3765117104648,42513
837.64722441251035,42647
837.91794353938394,44310
838.18866906985909,43661
838.459400982706,42711
838.73013925669261,42104
839.00088387058406,41875
839.27163480314243,42729
839.54239203312761,44549
839.81315553929653,43820
840.08392530040317,42616
840.35470129519933,42846
840.62548350243412,43808
840.89627190085355,44364
841.16706646920136,44655
841.43786718621845,45653
841.70867403064324,45500
841.97948698121138,45391
842.250306016656,45438
842.5211311157077,44553
842.79196225709416,45381
843.06279941954062,45163
843.33364258177,45051
843.60449172250242,45817
843.87534682045521,46382
844.14620785434363,46101
844.41707480288017,45207
844.68794764477445,45165
844.95882635873375,45949
845.22971092346336,46076
845.50060131766543,45529
845.77149752003982,45705
846.04239950928343,46450
846.31330726409169,46532
846.58422076315651,46123
846.85513998516785,46754
847.12606490881308,46035
847.39699551277738,46038
847.66793177574277,46391
847.93887367638956,45801
848.2098211933951,46469
848.48077430543492,46338
848.75173299118171,46237
849.02269722930544,46431
849.29366699847435,47153
849.56464227735376,46898
849.8356230446069,46748
850.10660927889467,46376
850.37760095887563,46409
850.64859806320521,45910
850.91960057053757,46580
851.1906084595239,46600
851.46162170881314,46598
851.73264029705228,46772
852.00366420288537,47416
852.27469340495452,47445
852.54572788189932,47647
852.81676761235758,47271
853.08781257496412,46652
853.35886274835218,47003
853.62991811115194,46776
853.9009786419922,46722
854.17204431949858,46797
854.44311512229535,46885
854.71419102900393,46660
854.98527201824345,45905
855.25635806863158,46130
855.52744915878316,46370
855.79854526731083,46369
856.069646372825,46264
856.34075245393421,44239
856.61186348924491,43176
856.88297945736053,43164
857.1541003368834,44662
857.42522610641322,45540
857.6963567445473,46220
857.96749222988137,45748
858.23863254100831,45077
858.50977765651987,45118
858.78092755500461,45813
859.05208221505,45986
859.32324161524025,46412
859.59440573415873,46008
859.865574550386,45874
860.13674804250059,45448
860.40792618907926,44520
860.67910896869648,42293
860.95029635992455,40102
861.22148834133407,39622
861.49268489149358,42222
861.76388598896926,44948
862.03509161232557,45590
862.30630174012526,45469
862.57751635092814,46015
862.848735423293,46363
863.11995893577637,46683
863.39118686693234,46632
863.66241919531376,47008
863.933655899471,46503
864.20489695795266,46808
864.47614234930552,46794
864.74739205207436,46991
865.01864604480215,46810
865.28990430602937,46501
865.56116681429546,47114
865.83243354813749,46577
866.10370448609058,46826
866.37497960668838,46672
866.646258888462,46431
866.91754230994127,46347
867.1888298496541,46482
867.46012148612624,46658
867.73141719788214,46553
868.00271696344373,46464
868.27402076133171,46357
868.545328570065,46368
868.81664036815982,46494
869.08795613413179,45851
869.35927584649414,46644
869.63059948375815,46373
869.90192702443392,46345
870.17325844702918,46433
870.44459373005043,46281
870.71593285200186,46337
870.98727579138654,45685
871.25862252670538,45766
871.52997303645793,45426
871.80132729914158,45289
872.07268529325245,44820
872.34404699728475,44607
872.615412389731,42675
872.88678144908226,40682
873.15815415382747,39891
873.42953048245454,41953
873.70091041344892,43758
873.9722939252955,45031
874.24368099647677,45016
874.51507160547339,45436
874.78646573076526,45441
875.05786335083,45859
875.32926444414386,45754
875.60066898918137,45237
875.87207696441578,45580
876.14348834831867,45441
876.41490311935956,46115
876.68632125600709,46151
876.95774273672816,46166
877.22916753998777,45812
877.50059564425,46327
877.77202702797706,46182
878.04346166962944,45617
878.31489954766664,45147
878.58634064054627,45453
878.85778492672455,46055
879.12923238465612,45312
879.40068299279471,45658
879.67213672959178,45041
879.94359357349811,44788
880.21505350296206,44659
880.48651649643159,44110
880.75798253235268,43923
881.02945158917,43894
881.30092364532675,43712
881.57239867926489,43814
881.84387666942484,43631
882.11535759424567,43678
882.386841432165,43645
882.65832816161947,43575
882.92981776104386,43172
883.20131020887175,42940
883.47280548353547,43133
883.74430356346591,43129
884.01580442709292,43267
884.28730805284488,43285
884.55881441914858,43135
884.83032350442977,43296
885.10183528711286,42828
885.37334974562111,42628
885.64486685837608,42276
885.916386603799,42064
886.18790896030862,42247
886.45943390632351,42486
886.73096142026009,42789
887.00249148053433,42409
887.27402406556064,41890
887.545559153752,40852
887.81709672352054,41372
888.088636753277,41881
888.36017922143128,41922
888.63172410639152,42181
888.903271386565,42054
889.1748210403581,42162
889.44637304617527,42271
889.717927382421,41859
889.98948402749727,42166
890.26104295980633,42052
890.532604157748,41990
890.80416759972172,41873
891.075733264126,42461
891.34730112935767,42281
891.61887117381309,42738
891.890443375887,42425
892.16201771397311,42017
892.43359416646467,41402
892.70517271175322,41529
892.97675332822962,41115
893.24833599428337,40948
893.51992068830339,40932
893.79150738867725,41351
894.06309607379183,41846
894.33468672203242,41336
894.606279311784,41161
894.87787382143006,40566
895.1494702293536,40377
895.421068513936,40811
895.69266865355848,41127
895.96427062660041,40826
896.23587441144127,40702
896.50747998645863,40534
896.77908733002971,40550
897.0506964205307,40406
897.32230723633666,40263
897.59391975582218,40037
897.86553395736053,40182
898.13714981932458,39797
898.40876732008564,39606
