Wavelength,Intensity
804.40432199866621,42499
804.67409253372216,43015
804.94387206024635,43424
805.21366055740634,43586
805.483458004366,43199
805.75326438028492,43196
806.02307966431954,43566
806.29290383562261,43358
806.56273687334271,42835
806.83257875662537,42619
807.1024294646121,42675
807.37228897644059,43088
807.64215727124542,44170
807.91203432815689,44030
808.1819201263022,44841
808.45181464480459,45300
808.72171786278386,45877
808.991629759356,46052
809.26155031363373,46497
809.53147950472589,45514
809.80141731173774,46081
810.07136371377123,46464
810.34131868992449,47498
810.611282219292,47117
810.88125428096475,47209
811.15123485403069,47991
811.42122391757346,47487
811.69122145067354,47181
811.961227432408,48868
812.23124184185008,49769
812.50126465806977,50436
812.77129586013348,50242
813.04133542710417,50539
813.3113833380412,50521
813.58143957200036,50167
813.85150410803453,50340
814.12157692519236,49854
814.39165800251965,49762
814.66174731905824,50162
814.93184485384722,50023
815.20195058592151,49575
815.47206449431326,49608
815.74218655805043,49548
816.0123167561585,49926
816.282455067659,49307
816.55260147156991,49562
816.82275594690634,49196
817.09291847267968,49083
817.36308902789813,50084
817.63326759156632,49665
817.90345414268563,48873
818.17364866025434,48332
818.443851123267,47892
818.714061510715,48111
818.98427980158681,47641
819.25450597486667,46846
819.52474000953646,46530
819.79498188457421,46238
820.06523157895481,44784
820.33548907165,42706
820.6057543416282,42979
820.87602736785425,43567
821.14630812929022,43158
821.41659660489461,42704
821.68689277362273,41714
821.957196614427,40950
822.22750810625587,41422
822.49782722805548,41687
822.76815395876815,42073
823.03848827733339,41386
823.30883016268683,38860
823.579179593762,38967
823.84953654948811,41643
824.11990100879223,42073
824.39027295059748,43281
824.66065235382428,41238
824.93103919738985,38971
825.201433460208,41468
825.47183512118988,42914
825.74224415924311,43399
826.01266055327244,42824
826.2830842821794,43519
826.55351532486247,42427
826.82395366021717,42351
827.0943992671356,43728
827.36485212450714,47831
827.63531221121809,49182
827.90577950615136,48400
828.17625398818723,46840
828.44673563620279,46651
828.71722442907208,46761
828.98772034566593,44821
829.2582233648526,42399
829.52873346549688,38845
829.799250626461,34779
830.06977482660375,35453
830.34030604478141,40103
830.61084425984689,44276
830.88138945065032,45902
831.15194159603914,46397
831.42250067485713,46304
831.69306666594582,48563
831.96363954814365,49719
832.234219300286,47842
832.50480590120515,46479
832.77539932973093,45069
