Wavelength,Intensity
804.40432199866621,33321
804.67409253372216,34130
804.94387206024635,34217
805.21366055740634,34303
805.483458004366,34248
805.75326438028492,34347
806.02307966431954,34697
806.29290383562261,34649
806.56273687334271,34421
806.83257875662537,34748
807.1024294646121,34692
807.37228897644059,35147
807.64215727124542,35677
807.91203432815689,35949
808.1819201263022,36258
808.45181464480459,36572
808.72171786278386,36554
808.991629759356,37734
809.26155031363373,37416
809.53147950472589,37197
809.80141731173774,37710
810.07136371377123,37753
810.34131868992449,38486
810.611282219292,38436
810.88125428096475,38986
811.15123485403069,39135
811.42122391757346,39528
811.69122145067354,39594
811.961227432408,40217
812.23124184185008,40988
812.50126465806977,41069
812.77129586013348,41235
813.04133542710417,41344
813.3113833380412,41510
813.58143957200036,40867
813.85150410803453,41108
814.12157692519236,41152
814.39165800251965,41024
814.66174731905824,41285
814.93184485384722,41037
815.20195058592151,41069
815.47206449431326,40607
815.74218655805043,41088
816.0123167561585,41451
816.282455067659,41428
816.55260147156991,41233
816.82275594690634,41359
817.09291847267968,41470
817.36308902789813,41438
817.63326759156632,41498
817.90345414268563,41135
818.17364866025434,40954
818.443851123267,41150
818.714061510715,40807
818.98427980158681,40668
819.25450597486667,40069
819.52474000953646,39649
819.79498188457421,39624
820.06523157895481,39327
820.33548907165,38405
820.6057543416282,38333
820.87602736785425,38819
821.14630812929022,38261
821.41659660489461,38436
821.68689277362273,38280
821.957196614427,37716
822.22750810625587,38449
822.49782722805548,38292
822.76815395876815,38418
823.03848827733339,38273
823.30883016268683,37635
823.579179593762,37700
823.84953654948811,38664
824.11990100879223,38612
824.39027295059748,39170
824.66065235382428,38220
824.93103919738985,37893
825.201433460208,38637
825.47183512118988,39148
825.74224415924311,39400
826.01266055327244,39521
826.2830842821794,39217
826.55351532486247,39075
826.82395366021717,39190
827.0943992671356,39735
827.36485212450714,41420
827.63531221121809,42222
827.90577950615136,41797
828.17625398818723,40882
828.44673563620279,40626
828.71722442907208,41256
828.98772034566593,40202
829.2582233648526,39208
829.52873346549688,37580
829.799250626461,36169
830.06977482660375,36414
830.34030604478141,38563
830.61084425984689,39982
830.88138945065032,41092
831.15194159603914,40926
831.42250067485713,40757
831.69306666594582,41791
831.96363954814365,42424
832.234219300286,41840
832.50480590120515,41117
832.77539932973093,40544
833.04599956469008,41326
833.31660658490625,41673
833.58722036920062,42072
833.85784089639117,42188
834.128468145293,41001
834.39910209471861,40021
834.66974272347727,39620
834.94039001037606,39759
835.21104393421854,40257
835.48170447380573,40589
835.75237160793574,40370
836.02304531540426,39863
836.29372557500358,40433
836.56441236552382,40052
836.8351056657516,41279
837.10580545447147,40545
837.3765117104648,40431
837.64722441251035,40791
837.91794353938394,41349
838.18866906985909,41138
838.459400982706,40767
838.73013925669261,40495
839.00088387058406,40511
839.27163480314243,40982
839.54239203312761,41508
839.81315553929653,41344
840.08392530040317,40826
840.35470129519933,40763
840.62548350243412,41313
840.89627190085355,41569
841.16706646920136,41796
841.43786718621845,42303
841.70867403064324,42292
841.97948698121138,42262
842.250306016656,42146
842.5211311157077,41776
842.79196225709416,42148
843.06279941954062,41837
843.33364258177,42014
843.60449172250242,42795
843.87534682045521,42425
844.14620785434363,42267
844.41707480288017,41916
844.68794764477445,42272
844.95882635873375,41986
845.22971092346336,42605
845.50060131766543,42036
845.77149752003982,42167
846.04239950928343,42517
846.31330726409169,43051
846.58422076315651,42012
846.85513998516785,42465
847.12606490881308,42451
847.39699551277738,42417
847.66793177574277,42057
847.93887367638956,42106
848.2098211933951,42463
848.48077430543492,42327
848.75173299118171,42641
849.02269722930544,42420
849.29366699847435,43373
849.56464227735376,42609
849.8356230446069,42752
850.10660927889467,42597
850.37760095887563,42177
850.64859806320521,42383
850.91960057053757,42224
851.1906084595239,42401
851.46162170881314,42660
851.73264029705228,42970
852.00366420288537,42772
852.27469340495452,42670
852.54572788189932,43018
852.81676761235758,42825
853.08781257496412,42461
853.35886274835218,42396
853.62991811115194,42461
853.9009786419922,42600
854.17204431949858,42201
854.44311512229535,42512
854.71419102900393,42381
854.98527201824345,42092
855.25635806863158,42340
855.52744915878316,41785
855.79854526731083,42081
856.069646372825,41383
856.34075245393421,40940
856.61186348924491,40650
856.88297945736053,40363
857.1541003368834,40903
857.42522610641322,41823
857.6963567445473,41671
857.96749222988137,41172
858.23863254100831,41664
858.50977765651987,41366
